step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
29,9.9901181459e-01,4.5633099305e-03,-4.3391381529e-04,1.9862026382e-03,4.7040092945e-02,1.3909338767e-03,9.9197155237e-01,1.0031855106e+00,1.0028588772e+00,9.9521601200e-01,1.0018271208e+00,4.8570815474e-02,4.8623647541e-02,4.6636901796e-02,4.4982705265e-02,4.6386394650e-02
30,9.9891971350e-01,4.5621818173e-03,-4.7395281555e-04,1.9858939817e-03,5.3450993448e-02,1.4177383621e-03,9.9188143015e-01,1.0030926466e+00,1.0027660131e+00,9.9512457848e-01,1.0017338991e+00,5.4975423962e-02,5.5076941848e-02,5.3083423525e-02,5.1326379180e-02,5.2792798728e-02
31,9.9883294106e-01,4.5611793440e-03,-5.1167879387e-04,1.9856295099e-03,6.0455887765e-02,1.4474791327e-03,9.9179643393e-01,1.0030050278e+00,1.0026785135e+00,9.9503833055e-01,1.0016463995e+00,6.1973307282e-02,6.2127418816e-02,6.0127619654e-02,5.8257468045e-02,5.9793625027e-02
32,9.9875249863e-01,4.5601879329e-03,-5.4665548194e-04,1.9853572141e-03,6.8081408739e-02,1.4803377335e-03,9.9171769619e-01,1.0029238462e+00,1.0025974512e+00,9.9495851994e-01,1.0015649796e+00,6.9591023028e-02,6.9801643491e-02,6.7796386778e-02,6.5802268684e-02,6.7415721714e-02
33,9.9867949486e-01,4.5593590091e-03,-5.7840039048e-04,1.9851408656e-03,7.6353341341e-02,1.5164980471e-03,9.9164623022e-01,1.0028501749e+00,1.0025238991e+00,9.9488586187e-01,1.0014913082e+00,7.7854305506e-02,7.8125283122e-02,7.6115816832e-02,7.3986247182e-02,7.5685054064e-02
34,9.9861474037e-01,4.5584658854e-03,-6.0655981427e-04,1.9848800289e-03,8.5296483338e-02,1.5561116069e-03,9.9158310890e-01,1.0027848482e+00,1.0024585724e+00,9.9482154846e-01,1.0014256239e+00,8.6787827313e-02,8.7122976780e-02,8.5111029446e-02,8.2833930850e-02,8.4626652300e-02
35,9.9855893850e-01,4.5577298035e-03,-6.3082759484e-04,1.9846699456e-03,9.4934441149e-02,1.5993125401e-03,9.9152857065e-01,1.0027285814e+00,1.0024023056e+00,9.9476623535e-01,1.0013689995e+00,9.6415102482e-02,9.6818059683e-02,9.4805985689e-02,9.2368677258e-02,9.4264380634e-02
36,9.9851260185e-01,4.5570214219e-03,-6.5097986634e-04,1.9844531352e-03,1.0528947264e-01,1.6462135919e-03,9.9148344994e-01,1.0026816130e+00,1.0023555756e+00,9.9472033978e-01,1.0013220310e+00,1.0675827414e-01,1.0723248124e-01,1.0522333533e-01,1.0261256993e-01,1.0462070256e-01
37,9.9847611189e-01,4.5564323084e-03,-6.6685031091e-04,1.9842685980e-03,1.1638227850e-01,1.6968893578e-03,9.9144804478e-01,1.0026447773e+00,1.0023188591e+00,9.9468415976e-01,1.0012847185e+00,1.1783789098e-01,1.1838654429e-01,1.1638418585e-01,1.1358618736e-01,1.1571658403e-01
38,9.9844958782e-01,4.5559028798e-03,-6.7838648767e-04,1.9840903094e-03,1.2823178470e-01,1.7513807230e-03,9.9142247438e-01,1.0026179552e+00,1.0022920370e+00,9.9465793371e-01,1.0012575388e+00,1.2967272103e-01,1.3029867411e-01,1.2830795348e-01,1.2530840933e-01,1.2757116556e-01
39,9.9843287468e-01,4.5554991193e-03,-6.8565559301e-04,1.9839473511e-03,1.4085489511e-01,1.8096711562e-03,9.9140644073e-01,1.0026010275e+00,1.0022752285e+00,9.9464154243e-01,1.0012401342e+00,1.4227950573e-01,1.4298518002e-01,1.4101199806e-01,1.3779623806e-01,1.4020155370e-01
