lambda	t	m_w	m_x	m_y
0.5	178	6.601741598169876e-89	6.601741598169876e-89	4.358299212900655e-177
0.5	179	2.1125573114143612e-89	2.1125573114143612e-89	4.4628983940102745e-178
0.5	180	6.760183396525957e-90	6.760183396525957e-90	4.570007955466523e-179
0.5	181	2.163258686888307e-90	2.163258686888307e-90	4.679688146397723e-180
0.5	182	6.922427798042584e-91	6.922427798042584e-91	4.79200066191127e-181
0.5	183	2.2151768953736272e-91	2.2151768953736272e-91	4.9070086777971416e-182
0.5	184	7.088566065195607e-92	7.088566065195607e-92	5.0247768860642735e-183
0.5	185	2.2683411408625944e-92	2.2683411408625944e-92	5.145371531329816e-184
0.5	186	7.258691650760301e-93	7.258691650760301e-93	5.26886044808173e-185
0.5	187	2.322781328243297e-93	2.322781328243297e-93	5.395313098835696e-186
0.5	188	7.432900250378551e-94	7.432900250378551e-94	5.524800613207753e-187
0.5	189	2.3785280801211361e-94	2.3785280801211361e-94	5.6573958279247375e-188
0.5	190	7.611289856387637e-95	7.611289856387637e-95	5.793173327794934e-189
0.5	191	2.4356127540440444e-95	2.4356127540440444e-95	5.932209487662014e-190
0.5	192	7.793960812940943e-96	7.793960812940943e-96	6.074582515365904e-191
0.5	193	2.4940674601411016e-96	2.4940674601411016e-96	6.220372495734685e-192
0.5	194	7.981015872451524e-97	7.981015872451524e-97	6.369661435632316e-193
0.5	195	2.553925079184488e-97	2.553925079184488e-97	6.522533310087493e-194
0.5	196	8.172560253390362e-98	8.172560253390362e-98	6.679074109529594e-195
0.5	197	2.6152192810849155e-98	2.6152192810849155e-98	6.839371888158303e-196
0.5	198	8.36870169947173e-99	8.36870169947173e-99	7.003516813474102e-197
0.5	199	2.6779845438309543e-99	2.6779845438309543e-99	7.171601216997485e-198
0.5	200	8.569550540259053e-100	8.569550540259053e-100	7.343719646205424e-199
