alpha,m_W_mean,m_W_std,m_X_mean,m_X_std,m_Y_mean,m_Y_std,q_W_mean,q_W_std,q_X_mean,q_X_std,q_Y_mean,q_Y_std,Loss_mean,Loss_std,Steps_mean
1.6000000000000005,-0.020148691441863775,0.021084849069184845,-0.02064695243607275,0.015503977555958523,0.04271110501140356,0.0074317282927419135,0.0019612429197877644,0.013519051200803427,0.0020794374635443092,0.01633373194228795,0.023727341368794442,0.003475341392513533,12.455847549438477,5.075206282963911,3000.0
1.6100000000000005,-0.02014869377017021,0.02108485419094312,-0.020646950154332443,0.015503978955975503,0.04271110147237778,0.007431732571017956,0.0019612499163486063,0.01351904178385978,0.0020794613403268157,0.016333708714240933,0.023727342300117017,0.003475346521378148,12.455874371528626,5.075207553989306,3000.0
1.6200000000000006,-0.020148694422096013,0.02108485363383667,-0.020646953326649963,0.015503982664925213,0.0427111029624939,0.00743172692456841,0.0019612574717029927,0.013519050777571035,0.002079443703405559,0.016333729516456712,0.023727342300117017,0.003475347990898213,12.455854773521423,5.075189164202107,3000.0
1.6300000000000006,-0.020148691721260548,0.021084844158412153,-0.020646958297584207,0.01550397257350122,0.04271110258996487,0.00743172954479651,0.001961265993304551,0.013519054851086128,0.002079451864119619,0.01633371784025926,0.023727341368794442,0.003475341815142479,12.455869364738465,5.075189619114231,3000.0
1.6400000000000006,-0.020148698054254056,0.02108485729464039,-0.020646955945994704,0.015503986906390965,0.04271110631525517,0.007431730630529153,0.0019612521398812534,0.013519050200692068,0.0020794638781808316,0.01633373294434173,0.02372734248638153,0.003475345331665827,12.455843472480774,5.075195274308342,3000.0
1.6500000000000006,-0.02113755390746519,0.018172077454946558,-0.02442267709411681,0.015176814857059358,0.05863809585571289,0.00567102319129738,0.0004672306531574577,0.02127764742979247,0.004293995862826705,0.02060643979329125,0.027867593429982664,0.0030555346255475876,125.54130592346192,24.573417746049273,3000.0
1.6600000000000006,-0.02113754193414934,0.018172086209755554,-0.02442266340367496,0.015176800263545197,0.05863809026777744,0.0056710191150096834,0.00046724320854991676,0.021277673909530503,0.004294005548581481,0.020606468556731167,0.02786760274320841,0.003055523480147373,125.54139671325683,24.573368821763545,3000.0
1.6700000000000006,-0.021137527329847215,0.018172084767013236,-0.024422638490796088,0.015176804616996317,0.058638105541467665,0.0056710248982162455,0.00046719505335204305,0.02127766700543514,0.004293997585773468,0.02060645742493614,0.02786758840084076,0.0030555269737756632,125.54140357971191,24.573508942030724,3000.0
1.6800000000000006,-0.021137537818867715,0.01817207037901563,-0.024422667874023318,0.015176794510440947,0.05863810181617737,0.005671026490339768,0.00046724143903702496,0.021277683469721906,0.004293984919786453,0.020606402036628307,0.02786758653819561,0.0030555322096054815,125.54141502380371,24.573444037465276,3000.0
1.6900000000000006,-0.02113749288546387,0.01817207517080896,-0.024422614928334953,0.015176821300805672,0.058638103678822516,0.005671019766386957,0.0004672494949772954,0.02127768273983167,0.004294054163619876,0.02060647115630548,0.027867594733834267,0.0030555406480374803,125.54138679504395,24.573476423418025,3000.0
1.7000000000000006,-0.021137481660116465,0.0181720707805101,-0.024422612227499484,0.015176791719036825,0.05863808579742909,0.005671020528376505,0.0004671851231250912,0.02127765680116396,0.004293974908068776,0.02060638158610926,0.02786758802831173,0.0030555344110648544,125.54141349792481,24.573442061332344,3000.0
1.7100000000000006,-0.021137505283695644,0.01817208603862097,-0.02442262866534293,0.015176795971656052,0.05863809920847416,0.005671027800828158,0.0004672845301683992,0.021277689803885284,0.004294063244014978,0.020606452476661218,0.027867595478892327,0.003055531245628946,125.54140129089356,24.573492549470206,3000.0
1.7200000000000006,-0.021137503217323682,0.01817203968114307,-0.024422615021467208,0.015176784232602472,0.05863809771835804,0.005671023467416074,0.0004672886512707919,0.021277645031772274,0.004294044803828001,0.020606405625797596,0.027867595478892327,0.0030555419518321406,125.54144821166992,24.573566241560158,3000.0
1.7300000000000006,-0.021137524102232418,0.01817207934852027,-0.024422633461654186,0.015176806294019999,0.05863809734582901,0.005671012184671041,0.0004672898503486067,0.021277664161131235,0.004294075118377805,0.02060643241607281,0.027867593243718146,0.0030555440200816363,125.54147529602051,24.5734875456392,3000.0
1.7400000000000007,-0.021137492297566497,0.018172073311540776,-0.02442266293801367,0.015176824740650675,0.05863808579742909,0.0056710075951937585,0.0004672430397477001,0.021277640592485235,0.004294002335518599,0.020606402523818065,0.027867594361305238,0.003055528309170417,125.54141578674316,24.573434675004464,3000.0
1.7500000000000007,-0.024840906518511473,0.023590785341665872,-0.024398551089689136,0.017523964258824704,0.07276802025735378,0.008034333864168299,-0.0012782489648088813,0.0204046644946734,0.0004458088893443346,0.015033612296525743,0.03520204406231642,0.0032395465418112545,437.9408660888672,50.647412934348296,3000.0
1.7600000000000007,-0.024840948544442652,0.02359072161541058,-0.02439855351112783,0.017523900374163345,0.07276804521679878,0.00803433190259942,-0.0012783509446308017,0.020404485185811373,0.00044569619931280615,0.015033524498105,0.035202008113265036,0.003239549448147367,437.9413146972656,50.64691826167281,3000.0
1.7700000000000007,-0.02484092356171459,0.023590799930870827,-0.024398529808968304,0.01752404148420064,0.07276804447174072,0.008034335749102678,-0.0012783585116267204,0.02040453780729894,0.0004457907285541296,0.015033632765380943,0.035201985761523245,0.00323954578883007,437.9408706665039,50.6468733108088,3000.0
