step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3
37,8.6157830729e+04,6.1612483689e+02,4.9352836688e+00,3.1020079023e-03,2.1539457763e-03,1.5403069938e-05,8.6974328125e+04,8.6013046875e+04,8.5486117188e+04,2.1743581165e-03,2.1503262687e-03,2.1371529438e-03
38,7.8942906250e+04,5.6668895391e+02,4.8973019425e+00,3.1130778380e-03,1.9735726528e-03,1.4167274958e-05,7.9704148438e+04,7.8779281250e+04,7.8345289062e+04,1.9926037639e-03,1.9694820512e-03,1.9586321432e-03
39,7.2399776042e+04,5.2220318252e+02,4.8597259512e+00,3.1271993404e-03,1.8099944185e-03,1.3055078788e-05,7.3109789062e+04,7.2220710938e+04,7.1868828125e+04,1.8277447671e-03,1.8055177061e-03,1.7967207823e-03
40,6.6457643229e+04,4.8237710134e+02,4.8225335247e+00,3.1462800920e-03,1.6614410561e-03,1.2059457603e-05,6.7120421875e+04,6.6266164062e+04,6.5986343750e+04,1.6780105652e-03,1.6566540580e-03,1.6496585449e-03
41,6.1054350260e+04,4.4663161182e+02,4.7857050261e+00,3.1702956138e-03,1.5263587702e-03,1.1165790899e-05,6.1673484375e+04,6.0853062500e+04,6.0636503906e+04,1.5418371186e-03,1.5213266015e-03,1.5159125905e-03
42,5.6135057292e+04,4.1444651943e+02,4.7492223698e+00,3.1990663883e-03,1.4033763825e-03,1.0361138296e-05,5.6713734375e+04,5.5926332031e+04,5.5765105469e+04,1.4178432757e-03,1.3981582597e-03,1.3941276120e-03
43,5.1650950521e+04,3.8549070631e+02,4.7130662619e+00,3.2333928036e-03,1.2912737438e-03,9.6372887326e-06,5.2192187500e+04,5.1436914062e+04,5.1323750000e+04,1.3048046967e-03,1.2859228300e-03,1.2830937048e-03
44,4.7559395833e+04,3.5954499921e+02,4.6772239609e+00,3.2748042848e-03,1.1889848392e-03,8.9886474795e-06,4.8066210938e+04,4.7341523438e+04,4.7270453125e+04,1.2016552500e-03,1.1835379992e-03,1.1817612685e-03
45,4.3821924479e+04,3.3590533448e+02,4.6416787326e+00,3.3201163339e-03,1.0955480781e-03,8.3976568227e-06,4.4296546875e+04,4.3601898438e+04,4.3567328125e+04,1.1074136710e-03,1.0900474153e-03,1.0891831480e-03
46,4.0404432292e+04,3.1444452324e+02,4.6064159049e+00,3.3706673653e-03,1.0101107958e-03,7.8611247789e-06,4.0849121094e+04,4.0183480469e+04,4.0180695312e+04,1.0212280322e-03,1.0045870440e-03,1.0045173112e-03
47,3.7276580729e+04,2.9492175915e+02,4.5714225264e+00,3.4265590868e-03,9.3191448832e-04,7.3730739340e-06,3.7693429688e+04,3.7056074219e+04,3.7080238281e+04,9.4233575510e-04,9.2640181538e-04,9.2700589448e-04
48,3.4411290365e+04,2.7729266006e+02,4.5366869096e+00,3.4899862658e-03,8.6028225875e-04,6.9322941925e-06,3.4802492188e+04,3.4192074219e+04,3.4239304688e+04,8.7006227113e-04,8.5480185226e-04,8.5598265287e-04
49,3.1784145833e+04,2.6102956246e+02,4.5021959521e+00,3.5569459434e-03,7.9460366396e-04,6.5257406005e-06,3.2151275391e+04,3.1567166016e+04,3.1633996094e+04,8.0378190614e-04,7.8917917563e-04,7.9084991012e-04
50,2.9373524740e+04,2.4624780835e+02,4.4679408569e+00,3.6310979059e-03,7.3433812940e-04,6.1562025141e-06,2.9718402344e+04,2.9159234375e+04,2.9242937500e+04,7.4296008097e-04,7.2898087092e-04,7.3107343633e-04
51,2.7159735026e+04,2.3257365851e+02,4.4339096607e+00,3.7092827380e-03,6.7899337349e-04,5.8143408886e-06,2.7483806641e+04,2.6949027344e+04,2.7046371094e+04,6.8709516199e-04,6.7372567719e-04,6.7615928128e-04
52,2.5125128906e+04,2.1994898073e+02,4.4000917128e+00,3.7923897552e-03,6.2812822095e-04,5.4987154665e-06,2.5429751953e+04,2.4918320312e+04,2.5027314453e+04,6.3574378146e-04,6.2295800308e-04,6.2568287831e-04
