step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
31,2.9857704828e-08,4.1929911286e-08,-8.9485311701e+00,1.3968202518e+00,1.4928852829e-11,2.0964956233e-11,9.2449600343e-03,9.1620641856e-03,4.2655882299e-11,3.7521541429e-10,8.9155243188e-08,2.1327942328e-14,1.8760770118e-13,4.4577622843e-11,2.0619422197e-02,8.9318649843e-03,-1.8164070789e-03
32,1.7178875068e-08,2.4147305941e-08,-9.2482169125e+00,1.4452831703e+00,8.5894373316e-12,1.2073652682e-11,9.2449610432e-03,9.1620626033e-03,1.8461870921e-11,1.8998429219e-10,5.1328179040e-08,9.2309354130e-15,9.4992149726e-14,2.5664088910e-11,2.0619422197e-02,8.9318640530e-03,-1.8164031208e-03
33,9.9068100855e-09,1.3934786385e-08,-9.5408084029e+00,1.4900380215e+00,4.9534053015e-12,6.9673935592e-12,9.2449623238e-03,9.1620610573e-03,8.1556714507e-12,9.8770047696e-11,2.9613504537e-08,4.0778359896e-15,4.9385022710e-14,1.4806753046e-11,2.0619422197e-02,8.9318640530e-03,-1.8163992791e-03
34,5.7160765604e-09,8.0456552231e-09,-9.7663119681e+00,1.4595401251e+00,2.8580382798e-12,4.0228276118e-12,9.2449631387e-03,9.1620600734e-03,6.1553622442e-12,4.7748364290e-11,1.7094325955e-08,3.0776810848e-15,2.3874180966e-14,8.5471629774e-12,2.0619422197e-02,8.9318640530e-03,-1.8163968343e-03
35,3.2891039913e-09,4.6304728841e-09,-1.0050674713e+01,1.5027996908e+00,1.6445520304e-12,2.3152364911e-12,9.2449642640e-03,9.1620587148e-03,2.6428594556e-12,2.7102797437e-11,9.8375663171e-09,1.3214296312e-15,1.3551398908e-14,4.9187832626e-12,2.0619422197e-02,8.9318640530e-03,-1.8163934583e-03
36,1.8832500055e-09,2.6514910728e-09,-1.0233329490e+01,1.4366770561e+00,9.4162497965e-13,1.3257455037e-12,9.2449646133e-03,9.1620582931e-03,2.4866304762e-12,1.4244889990e-11,5.6330184961e-09,1.2433151940e-15,7.1224450965e-15,2.8165091787e-12,2.0619422197e-02,8.9318640530e-03,-1.8163924105e-03
37,1.0975931786e-09,1.5457984460e-09,-1.0472211681e+01,1.4340346579e+00,5.4879658671e-13,7.7289921929e-13,9.2449650013e-03,9.1620578247e-03,1.5442939896e-12,7.5556913157e-12,3.2836795505e-09,7.7214697615e-16,3.7778457188e-15,1.6418397674e-12,2.0619422197e-02,8.9318640530e-03,-1.8163912464e-03
38,6.3143718300e-10,8.8921481678e-10,-1.0655918231e+01,1.3767744783e+00,3.1571860567e-13,4.4460742842e-13,9.2449653894e-03,9.1620573562e-03,1.4782357196e-12,3.8572266041e-12,1.8889760867e-09,7.3911782634e-16,1.9286133410e-15,9.4448808583e-13,2.0619422197e-02,8.9318640530e-03,-1.8163900822e-03
39,3.6391996184e-10,5.1194628534e-10,-1.0820954508e+01,1.3209084192e+00,1.8195998310e-13,2.5597314573e-13,9.2449653894e-03,9.1620573562e-03,1.1995698488e-12,2.6394511576e-12,1.0879208645e-09,5.9978492992e-16,1.3197256127e-15,5.4396043876e-13,2.0619422197e-02,8.9318640530e-03,-1.8163900822e-03
40,2.1270260831e-10,2.9869608109e-10,-1.0953566218e+01,1.2433201259e+00,1.0635130935e-13,1.4934804792e-13,9.2449655058e-03,9.1620572156e-03,1.2517503310e-12,1.7335089527e-12,6.3512256565e-10,6.2587513289e-16,8.6675446830e-16,3.1756129844e-13,2.0619422197e-02,8.9318640530e-03,-1.8163897330e-03
41,1.2234324025e-10,1.7119356359e-10,-1.1073011942e+01,1.1561966688e+00,6.1171617867e-14,8.5596778639e-14,9.2449659326e-03,9.1620567003e-03,1.1912431762e-12,1.3910053664e-12,3.6444747220e-10,5.9562155123e-16,6.9550267052e-16,1.8222372938e-13,2.0619422197e-02,8.9318640530e-03,-1.8163884524e-03
42,7.2158994528e-11,1.0023555107e-10,-1.1151383821e+01,1.0476650363e+00,3.6079496890e-14,5.0117775033e-14,9.2449658162e-03,9.1620568408e-03,1.2800610181e-12,1.2834522941e-12,2.1391347027e-10,6.4003048280e-16,6.4172613688e-16,1.0695673405e-13,2.0619422197e-02,8.9318640530e-03,-1.8163888017e-03
43,4.0535027230e-11,5.5744107690e-11,-1.1275631703e+01,9.5647996927e-01,2.0267514112e-14,2.7872054567e-14,9.2449658938e-03,9.1620567471e-03,1.0741146471e-12,1.1618829813e-12,1.1936908406e-10,5.3705732268e-16,5.8094146440e-16,5.9684543549e-14,2.0619422197e-02,8.9318640530e-03,-1.8163885688e-03
44,2.3303581793e-11,3.1516559002e-11,-1.1384265594e+01,8.5982465606e-01,1.1651790111e-14,1.5758278389e-14,9.2449660103e-03,9.1620566066e-03,1.0224892764e-12,1.0135294297e-12,6.7874726672e-11,5.1124462889e-16,5.0676472457e-16,3.3937360978e-14,2.0619422197e-02,8.9318640530e-03,-1.8163882196e-03
45,1.4544385878e-11,1.9221650938e-11,-1.1474148886e+01,7.7411896342e-01,7.2721925101e-15,9.6108248905e-15,9.2449662043e-03,9.1620563723e-03,9.9181936535e-13,9.1347057956e-13,4.1727867689e-11,4.9590967971e-16,4.5673525293e-16,2.0863932598e-14,2.0619422197e-02,8.9318640530e-03,-1.8163876375e-03
46,9.4109002275e-12,1.1995929511e-11,-1.1547749032e+01,6.8515601741e-01,4.7054499753e-15,5.9979646043e-15,9.2449660879e-03,9.1620565129e-03,9.3353265656e-13,9.2346258678e-13,2.6375705439e-11,4.6676629355e-16,4.6173126502e-16,1.3187852367e-14,2.0619422197e-02,8.9318640530e-03,-1.8163879868e-03
47,5.5434845805e-12,6.6195195503e-12,-1.1651670165e+01,5.8339826786e-01,2.7717423134e-15,3.3097598211e-15,9.2449661655e-03,9.1620564192e-03,8.7857661684e-13,8.4699597596e-13,1.4904881149e-11,4.3928830651e-16,4.2349797125e-16,7.4524406625e-15,2.0619422197e-02,8.9318640530e-03,-1.8163877539e-03
48,3.7525100937e-12,4.1256242998e-12,-1.1725076114e+01,4.9992523111e-01,1.8762550405e-15,2.0628121496e-15,9.2449661655e-03,9.1620564192e-03,8.6636416357e-13,8.0425238951e-13,9.5869137282e-12,4.3318207247e-16,4.0212619179e-16,4.7934568573e-15,2.0619422197e-02,8.9318640530e-03,-1.8163877539e-03
49,2.8321353148e-12,2.5591631016e-12,-1.1725234120e+01,3.8024108977e-01,1.4160676519e-15,1.2795815699e-15,9.2449662043e-03,9.1620563723e-03,9.0799752699e-13,1.1395396345e-12,6.4488687827e-12,4.5399875418e-16,5.6976978804e-16,3.2244344134e-15,2.0619422197e-02,8.9318640530e-03,-1.8163876375e-03
50,1.9270722894e-12,1.4674222021e-12,-1.1834552433e+01,3.1119874485e-01,9.6353609110e-16,7.3371105884e-16,9.2449662431e-03,9.1620563255e-03,9.9015403082e-13,7.9190115836e-13,3.9991616789e-12,4.9507699338e-16,3.9595055398e-16,1.9995807259e-15,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
51,1.7419889316e-12,1.2298871361e-12,-1.1858991730e+01,2.8340870632e-01,8.7099443289e-16,6.1494354814e-16,9.2449663207e-03,9.1620562318e-03,8.8579306650e-13,8.5893087347e-13,3.4812428547e-12,4.4289650805e-16,4.2946542424e-16,1.7406213664e-15,2.0619422197e-02,8.9318640530e-03,-1.8163872883e-03
52,1.3599334332e-12,7.9205524791e-13,-1.1933659618e+01,2.3313977739e-01,6.7996669219e-16,3.9602760438e-16,9.2449662043e-03,9.1620563723e-03,8.5748237937e-13,7.4416156830e-13,2.4781563520e-12,4.2874118460e-16,3.7208076848e-16,1.2390781235e-15,2.0619422197e-02,8.9318640530e-03,-1.8163876375e-03
53,1.2359122876e-12,6.8370847373e-13,-1.1968560669e+01,2.2160214941e-01,6.1795611598e-16,3.4185421942e-16,9.2449662431e-03,9.1620563255e-03,8.1029790083e-13,6.9683836609e-13,2.2006005958e-12,4.0514893474e-16,3.4841916780e-16,1.1003002454e-15,2.0619422197e-02,8.9318640530e-03,-1.8163875211e-03
