step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
29,1.6756586313e+00,4.2853794330e-03,2.2418412823e-01,1.1103581871e-03,1.8404933438e-02,7.7730124498e-04,1.6763639450e+00,1.6703402996e+00,1.6775436401e+00,1.6717422009e+00,1.6823030710e+00,1.8549447879e-02,1.9196052104e-02,1.7928084359e-02,1.7165193334e-02,1.9185889512e-02
30,1.6293672562e+00,4.0864187210e-03,2.1201761919e-01,1.0888563895e-03,2.1346771717e-02,7.8710639178e-04,1.6301392317e+00,1.6243395805e+00,1.6309680939e+00,1.6256185770e+00,1.6357707977e+00,2.1527124569e-02,2.2095164284e-02,2.0880220458e-02,2.0071504638e-02,2.2159844637e-02
31,1.5785320520e+00,3.8694570213e-03,1.9825210045e-01,1.0642119802e-03,2.4667292461e-02,7.9985852456e-04,1.5793755054e+00,1.5738255978e+00,1.5798236132e+00,1.5749686956e+00,1.5846668482e+00,2.4888051674e-02,2.5367170572e-02,2.4212198332e-02,2.3351740092e-02,2.5517301634e-02
32,1.5230325222e+00,3.6356450999e-03,1.8270794046e-01,1.0362998239e-03,2.8406364843e-02,8.1630389557e-04,1.5239517689e+00,1.5186792612e+00,1.5239893198e+00,1.5196716785e+00,1.5288705826e+00,2.8672544286e-02,2.9051315039e-02,2.7963964269e-02,2.7045195922e-02,2.9298804700e-02
33,1.4628177404e+00,3.3864070853e-03,1.6518905560e-01,1.0049403592e-03,3.2607374713e-02,8.3731897528e-04,1.4638168812e+00,1.4588501453e+00,1.4634156227e+00,1.4596768618e+00,1.4683291912e+00,3.2924488187e-02,3.3190291375e-02,3.2178923488e-02,3.1194640324e-02,3.3548530191e-02
34,1.3979306221e+00,3.1250455186e-03,1.4548453391e-01,9.7036893831e-04,3.7317296118e-02,8.6389836400e-04,1.3990124464e+00,1.3943812847e+00,1.3981474638e+00,1.3950259686e+00,1.4030859470e+00,3.7691384554e-02,3.7830300629e-02,3.6904081702e-02,3.5846367478e-02,3.8314346224e-02
35,1.3285375118e+00,2.8565809960e-03,1.2337281824e-01,9.3327924185e-04,4.2586717010e-02,8.9716093836e-04,1.3297035694e+00,1.3254376650e+00,1.3283556700e+00,1.3258831501e+00,1.3333075047e+00,4.3024379760e-02,4.3021161109e-02,4.2189955711e-02,4.1050236672e-02,4.3647851795e-02
36,1.2549615860e+00,2.5880716882e-03,9.8629509644e-02,8.9507452275e-04,4.8469623923e-02,9.3833303143e-04,1.2562124729e+00,1.2523404360e+00,1.2543690205e+00,1.2525682449e+00,1.2593177557e+00,4.8978004605e-02,4.8815991729e-02,4.8090431839e-02,4.6859428287e-02,4.9604263157e-02
37,1.1777238607e+00,2.3307969868e-03,7.1042624214e-02,8.5893155348e-04,5.5022898316e-02,9.8868843495e-04,1.1790581942e+00,1.1756052971e+00,1.1767160892e+00,1.1755971909e+00,1.1816425323e+00,5.5609699339e-02,5.5270865560e-02,5.4662220180e-02,5.3329963237e-02,5.6241743267e-02
38,1.0975839138e+00,2.0990479978e-03,4.0436939875e-02,8.3002538108e-04,6.2305609882e-02,1.0494947517e-03,1.0989974737e+00,1.0959846973e+00,1.0961674452e+00,1.0957218409e+00,1.1010481119e+00,6.2979139388e-02,6.2444031239e-02,6.1964079738e-02,6.0520060360e-02,6.3620738685e-02
39,1.0155791998e+00,1.9090890252e-03,6.7130306516e-03,8.1596927614e-04,7.0377837121e-02,1.1219550465e-03,1.0170640945e+00,1.0145058632e+00,1.0137734413e+00,1.0139704943e+00,1.0185821056e+00,7.1146950126e-02,7.0394888520e-02,7.0055618882e-02,6.8488962948e-02,7.1802765131e-02
40,9.3305934668e-01,1.7750353839e-03,-3.0091517946e-02,8.2598921541e-04,7.9298943281e-02,1.2072000423e-03,9.3460327387e-01,9.3250638247e-01,9.3089789152e-01,9.3168151379e-01,9.3560767174e-01,8.0173075199e-02,7.9182073474e-02,7.8995719552e-02,7.7295146883e-02,8.0848701298e-02
41,8.5170042515e-01,1.7020666419e-03,-6.9714003346e-02,8.6802294456e-04,8.9125363529e-02,1.3062829865e-03,8.5328513384e-01,8.5164517164e-01,8.4923225641e-01,8.5052078962e-01,8.5381877422e-01,9.0114541352e-02,8.8861659169e-02,8.8840156794e-02,8.6993999779e-02,9.0816460550e-02
42,7.7349002361e-01,1.6810762048e-03,-1.1154630984e-01,9.4438395502e-04,9.9907861650e-02,1.4199399716e-03,7.7509140968e-01,7.7389138937e-01,7.7078038454e-01,7.7246278524e-01,7.7522414923e-01,1.0102254897e-01,9.9484317005e-02,9.9638819695e-02,9.7635529935e-02,1.0175809264e-01
43,7.0067048073e-01,1.6912413166e-03,-1.5448744555e-01,1.0491783606e-03,1.1168832779e-01,1.5485963463e-03,7.0226007700e-01,7.0146596432e-01,6.9779706001e-01,6.9973862171e-01,7.0209068060e-01,1.1293920130e-01,1.1109218001e-01,1.1143281311e-01,1.0926097631e-01,1.1371646821e-01
44,6.3562567234e-01,1.7075723904e-03,-1.9680013973e-01,1.1679503137e-03,1.2449680120e-01,1.6922071381e-03,6.3717204332e-01,6.3673102856e-01,6.3267487288e-01,6.3472306728e-01,6.3682734966e-01,1.2589432299e-01,1.2371616811e-01,1.2425129116e-01,1.2190008163e-01,1.2672214210e-01
45,5.8071619272e-01,1.7107183177e-03,-2.3603795125e-01,1.2808539369e-03,1.3834865689e-01,1.8502007857e-03,5.8218693733e-01,5.8202677965e-01,5.7777529955e-01,5.7977360487e-01,5.8181834221e-01,1.3990257680e-01,1.3737314939e-01,1.3810920715e-01,1.3556812704e-01,1.4079022408e-01
46,5.3807327747e-01,1.6923367429e-03,-2.6916072728e-01,1.3674997635e-03,1.5324239433e-01,2.0214923874e-03,5.3943645954e-01,5.3946864605e-01,5.3522354364e-01,5.3702580929e-01,5.3921192884e-01,1.5496121347e-01,1.5206396580e-01,1.5300489962e-01,1.5026368201e-01,1.5591821074e-01
47,5.0938056707e-01,1.6586822934e-03,-2.9295993314e-01,1.4156660673e-03,1.6915882230e-01,2.2043524969e-03,5.1060557365e-01,5.1073133945e-01,5.0669008493e-01,5.0817584991e-01,5.1069998741e-01,1.7104904354e-01,1.6777232289e-01,1.6891950369e-01,1.6596816480e-01,1.7208507657e-01
48,4.9568900466e-01,1.6307487768e-03,-3.0479306728e-01,1.4299424176e-03,1.8606133759e-01,2.3966171346e-03,4.9674594402e-01,4.9686616659e-01,4.9320796132e-01,4.9429461360e-01,4.9733033776e-01,1.8812702596e-01,1.8446512520e-01,1.8581682444e-01,1.8264591694e-01,1.8925179541e-01
49,4.9730905294e-01,1.6403784577e-03,-3.0337599862e-01,1.4330507033e-03,2.0389761627e-01,2.5956603862e-03,4.9816820025e-01,4.9819225073e-01,4.9506586790e-01,4.9571844935e-01,4.9940049648e-01,2.0614008605e-01,2.0209394395e-01,2.0364519954e-01,2.0024603605e-01,2.0736281574e-01
50,5.1381042004e-01,1.7185361278e-03,-2.8919952060e-01,1.4520707127e-03,2.2260184288e-01,2.7985584598e-03,5.1444315910e-01,5.1429510117e-01,5.1180922985e-01,5.1204591990e-01,5.1645869017e-01,2.2501957417e-01,2.2059704363e-01,2.2233964503e-01,2.1870450675e-01,2.2634844482e-01
51,5.4413243532e-01,1.8803451358e-03,-2.6429797433e-01,1.4989874040e-03,2.4209728837e-01,3.0022967232e-03,5.4451298714e-01,5.4413336515e-01,5.4235315323e-01,5.4224377871e-01,5.4741889238e-01,2.4468579888e-01,2.3990179598e-01,2.4182428420e-01,2.3794664443e-01,2.4612791836e-01
52,5.8677817583e-01,2.1211643440e-03,-2.3152887762e-01,1.5668987570e-03,2.6229896545e-01,3.2039494935e-03,5.8688497543e-01,5.8623045683e-01,5.8517789841e-01,5.8483725786e-01,5.9076029062e-01,2.6505064964e-01,2.5992703438e-01,2.6201510429e-01,2.5788962841e-01,2.6661241055e-01
