step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
36,1.0015782317e+00,3.2585469362e-03,6.8257846703e-04,1.4129800650e-03,5.0015218059e-01,2.4458670459e-04,1.0016090870e+00,9.9757200480e-01,1.0055536032e+00,5.0049394369e-01,4.9993512034e-01,5.0002747774e-01
37,1.0013803641e+00,3.2957771425e-03,5.9671893203e-04,1.4293737048e-03,5.0017624100e-01,2.4889447125e-04,1.0013805628e+00,9.9734377861e-01,1.0054167509e+00,5.0052607059e-01,4.9996760488e-01,5.0003504753e-01
38,1.0012736320e+00,3.4609360118e-03,5.5018535678e-04,1.5010130603e-03,5.0018013517e-01,2.6845535691e-04,1.0011396408e+00,9.9710345268e-01,1.0055778027e+00,5.0055956841e-01,5.0000160933e-01,4.9997922778e-01
39,1.0010360281e+00,3.4804124536e-03,4.4708380598e-04,1.5097999921e-03,5.0020748377e-01,2.7449352093e-04,1.0008857250e+00,9.9685055017e-01,1.0053718090e+00,5.0059473515e-01,5.0003725290e-01,4.9999046326e-01
40,1.0007713040e+00,3.4820548027e-03,3.3221552741e-04,1.5109100447e-03,5.0023637215e-01,2.8088274812e-04,1.0006192923e+00,9.9658471346e-01,1.0051099062e+00,5.0063145161e-01,5.0007456541e-01,5.0000309944e-01
41,1.0005947153e+00,3.6106590769e-03,2.5537792877e-04,1.5668700995e-03,5.0024773677e-01,3.0487361280e-04,1.0003396273e+00,9.9630564451e-01,1.0051388741e+00,5.0066971779e-01,5.0011336803e-01,4.9996012449e-01
42,1.0003060102e+00,3.6159046382e-03,1.3004152522e-04,1.5695938381e-03,5.0028706590e-01,3.0547491548e-04,1.0000462532e+00,9.9601304531e-01,1.0048587322e+00,5.0070953369e-01,5.0015401840e-01,4.9999764562e-01
43,1.0000065962e+00,3.6251310614e-03,1.1817811244e-08,1.5740608716e-03,5.0032764673e-01,3.0656039232e-04,9.9973905087e-01,9.9570655823e-01,1.0045741796e+00,5.0075113773e-01,5.0019627810e-01,5.0003552437e-01
44,9.9969307582e-01,3.6344957513e-03,-1.3618536072e-04,1.5786125572e-03,5.0036978722e-01,3.0776956305e-04,9.9941748381e-01,9.9538594484e-01,1.0042757988e+00,5.0079441071e-01,5.0024026632e-01,5.0007468462e-01
45,9.9949787060e-01,3.8125369449e-03,-2.2128502452e-04,1.6560952189e-03,5.0038689375e-01,3.3606141455e-04,9.9908119440e-01,9.9505078793e-01,1.0043616295e+00,5.0083959103e-01,5.0028586388e-01,5.0003522635e-01
46,9.9915224314e-01,3.8185812433e-03,-3.7150270369e-04,1.6592873410e-03,5.0043294827e-01,3.3721881579e-04,9.9872976542e-01,9.9470102787e-01,1.0040259361e+00,5.0088667870e-01,5.0033324957e-01,5.0007891655e-01
47,9.9879153570e-01,3.8239640598e-03,-5.2832840322e-04,1.6622194198e-03,5.0048081080e-01,3.3823190310e-04,9.9836343527e-01,9.9433690310e-01,1.0036742687e+00,5.0093537569e-01,5.0038248301e-01,5.0012457371e-01
48,9.9841574828e-01,3.8296062502e-03,-6.9177079413e-04,1.6652912371e-03,5.0053062042e-01,3.3925670998e-04,9.9798178673e-01,9.9395751953e-01,1.0033079386e+00,5.0098609924e-01,5.0043344498e-01,5.0017231703e-01
49,9.9815525611e-01,4.0027789749e-03,-8.0539210054e-04,1.7408766845e-03,5.0055573384e-01,3.6928273800e-04,9.9758470058e-01,9.9356311560e-01,1.0033179522e+00,5.0103873014e-01,5.0048625469e-01,5.0014221668e-01
50,9.9774911006e-01,4.0091639847e-03,-9.8215501182e-04,1.7443547381e-03,5.0060904026e-01,3.7067133564e-04,9.9717187881e-01,9.9315303564e-01,1.0029224157e+00,5.0109320879e-01,5.0054097176e-01,5.0019294024e-01
51,9.9744705359e-01,4.1706907404e-03,-1.1139422010e-03,1.8150189855e-03,5.0063961744e-01,4.0046204064e-04,9.9674338102e-01,9.9272733927e-01,1.0028704405e+00,5.0114971399e-01,5.0059765577e-01,5.0017148256e-01
52,9.9714509646e-01,4.3541281183e-03,-1.2457790942e-03,1.8952311875e-03,5.0066866477e-01,4.3551122403e-04,9.9629890919e-01,9.9228608608e-01,1.0028502941e+00,5.0120812654e-01,5.0065630674e-01,5.0014156103e-01
53,9.9669202169e-01,4.3608962794e-03,-1.4431717893e-03,1.8990297564e-03,5.0072769324e-01,4.3711948625e-04,9.9583846331e-01,9.9182921648e-01,1.0024083853e+00,5.0126832724e-01,5.0071698427e-01,5.0019776821e-01
54,9.9622275432e-01,4.3676283545e-03,-1.6477133034e-03,1.9028468318e-03,5.0078872840e-01,4.3882998943e-04,9.9536174536e-01,9.9135625362e-01,1.0019502640e+00,5.0133073330e-01,5.0077950954e-01,5.0025594234e-01
55,9.9573683739e-01,4.3735386318e-03,-1.8596115104e-03,1.9063418696e-03,5.0085171064e-01,4.4049378992e-04,9.9486893415e-01,9.9086731672e-01,1.0014742613e+00,5.0139498711e-01,5.0084406137e-01,5.0031608343e-01
56,9.9532741308e-01,4.5016832192e-03,-2.0384723419e-03,1.9628676168e-03,5.0089631478e-01,4.6731197174e-04,9.9435931444e-01,9.9036216736e-01,1.0012607574e+00,5.0146138668e-01,5.0091058016e-01,5.0031697750e-01
57,9.9493277073e-01,4.6716546321e-03,-2.2110467462e-03,2.0376040308e-03,5.0093557437e-01,5.0372088621e-04,9.9383342266e-01,9.8984062672e-01,1.0011242628e+00,5.0152957439e-01,5.0097912550e-01,5.0029802322e-01
58,9.9439704418e-01,4.6767607204e-03,-2.4449733663e-03,2.0409199867e-03,5.0100451708e-01,5.0553580523e-04,9.9329102039e-01,9.8930287361e-01,1.0005972385e+00,5.0159990788e-01,5.0104957819e-01,5.0036406517e-01
59,9.9384456873e-01,4.6815228487e-03,-2.6863444843e-03,2.0441241464e-03,5.0107560555e-01,5.0726087959e-04,9.9273216724e-01,9.8874861002e-01,1.0000529289e+00,5.0167220831e-01,5.0112229586e-01,5.0043231249e-01
60,9.9327512582e-01,4.6852190038e-03,-2.9352665192e-03,2.0469018136e-03,5.0114872058e-01,5.0895534290e-04,9.9215686321e-01,9.8817837238e-01,9.9949014187e-01,5.0174659491e-01,5.0119686127e-01,5.0050270557e-01
61,9.9268837770e-01,4.6879424677e-03,-3.1919003402e-03,2.0492941766e-03,5.0122406085e-01,5.1062620783e-04,9.9156498909e-01,9.8759156466e-01,9.9890857935e-01,5.0182318687e-01,5.0127363205e-01,5.0057536364e-01
62,9.9212185542e-01,4.7390140200e-03,-3.4399322095e-03,2.0727431629e-03,5.0129008293e-01,5.2672165596e-04,9.9095690250e-01,9.8698860407e-01,9.9842005968e-01,5.0190174580e-01,5.0135242939e-01,5.0061607361e-01
63,9.9155418078e-01,4.8102592395e-03,-3.6886544743e-03,2.1050268983e-03,5.0135276715e-01,5.4978033739e-04,9.9033236504e-01,9.8636955023e-01,9.9796062708e-01,5.0198221207e-01,5.0143331289e-01,5.0064277649e-01
64,9.9096014102e-01,4.8683421341e-03,-3.9490481776e-03,2.1316536518e-03,5.0141874949e-01,5.7153095127e-04,9.8969155550e-01,9.8573404551e-01,9.9745482206e-01,5.0206488371e-01,5.0151622295e-01,5.0067514181e-01
65,9.9033315976e-01,4.9038652047e-03,-4.2239968503e-03,2.1485228798e-03,5.0148987770e-01,5.8953925374e-04,9.8903459311e-01,9.8508268595e-01,9.9688220024e-01,5.0214970112e-01,5.0160133839e-01,5.0071859360e-01
66,9.8967254162e-01,4.9163045671e-03,-4.5138309368e-03,2.1553912365e-03,5.0156593323e-01,6.0383200768e-04,9.8836129904e-01,9.8441499472e-01,9.9624133110e-01,5.0223654509e-01,5.0168848038e-01,5.0077277422e-01
67,9.8897908131e-01,4.9064974897e-03,-4.8182324828e-03,2.1526044950e-03,5.0164655844e-01,6.1497410938e-04,9.8767185211e-01,9.8373109102e-01,9.9553430080e-01,5.0232559443e-01,5.0177764893e-01,5.0083643198e-01
68,9.8825335503e-01,4.8747563409e-03,-5.1369796521e-03,2.1402773322e-03,5.0173185269e-01,6.2270248277e-04,9.8696649075e-01,9.8303139210e-01,9.9476218224e-01,5.0241661072e-01,5.0186902285e-01,5.0090992451e-01
69,9.8749599854e-01,4.8221919237e-03,-5.4698274667e-03,2.1188723369e-03,5.0182191531e-01,6.2694903633e-04,9.8624497652e-01,9.8231577873e-01,9.9392724037e-01,5.0250977278e-01,5.0196248293e-01,5.0099349022e-01
70,9.8670723041e-01,4.7486443062e-03,-5.8167129981e-03,2.0882948702e-03,5.0191680590e-01,6.2764060450e-04,9.8550766706e-01,9.8158466816e-01,9.9302935600e-01,5.0260514021e-01,5.0205796957e-01,5.0108730793e-01
71,9.8588707050e-01,4.6541437805e-03,-6.1776629505e-03,2.0485318470e-03,5.0201654434e-01,6.2476202488e-04,9.8475468159e-01,9.8083811998e-01,9.9206840992e-01,5.0270265341e-01,5.0215560198e-01,5.0119137764e-01
72,9.8503657182e-01,4.5399679512e-03,-6.5522530203e-03,2.0001141922e-03,5.0212087234e-01,6.1841208629e-04,9.8398637772e-01,9.8007625341e-01,9.9104708433e-01,5.0280219316e-01,5.0225508213e-01,5.0130534172e-01
73,9.8415503899e-01,4.4066760678e-03,-6.9408291241e-03,1.9432577707e-03,5.0222996871e-01,6.0868108831e-04,9.8320001364e-01,9.7929924726e-01,9.8996585608e-01,5.0290387869e-01,5.0235682726e-01,5.0142920017e-01
74,9.8324584961e-01,4.2575870855e-03,-7.3419462837e-03,1.8793887767e-03,5.0234333674e-01,5.9617351396e-04,9.8239779472e-01,9.7850739956e-01,9.8883235455e-01,5.0300776958e-01,5.0246059895e-01,5.0156164169e-01
75,9.8230779171e-01,4.0974090374e-03,-7.7561864998e-03,1.8105487148e-03,5.0246018171e-01,5.8145865729e-04,9.8156809807e-01,9.7770041227e-01,9.8765486479e-01,5.0311321020e-01,5.0256645679e-01,5.0170087814e-01
76,9.8135129611e-01,3.9289925794e-03,-8.1789782010e-03,1.7379746370e-03,5.0257623196e-01,5.6024337135e-04,9.8073434830e-01,9.7687751055e-01,9.8644202948e-01,5.0320816040e-01,5.0267416239e-01,5.0184637308e-01
77,9.8142590125e-01,3.9107643636e-03,-8.1459375670e-03,1.7324715717e-03,5.0241130590e-01,3.2268695554e-04,9.8303747177e-01,9.7603827715e-01,9.8520195484e-01,5.0245320797e-01,5.0278389454e-01,5.0199681520e-01
78,9.8801187674e-01,1.2486713673e-02,-5.2723893100e-03,5.4733474707e-03,5.0056959192e-01,2.7785871534e-03,1.0049347878e+00,9.7518140078e-01,9.8391944170e-01,4.9666377902e-01,5.0289571285e-01,5.0214928389e-01
79,9.8739133279e-01,1.2457083014e-02,-5.5451350273e-03,5.4651952487e-03,5.0060382485e-01,2.7417358940e-03,1.0041493177e+00,9.7430640459e-01,9.8371827602e-01,4.9676755071e-01,5.0300973654e-01,5.0203418732e-01
