step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
59,1.1079643369e+00,1.0195994191e-01,4.2609518548e-02,4.1209823004e-02,3.3027812839e-01,2.8844091865e-02,1.1526999474e+00,9.6688348055e-01,1.2043095827e+00,3.1584432721e-01,3.7053623796e-01,3.0445381999e-01
60,1.0894678434e+00,9.8223370233e-02,3.5373046422e-02,4.0407235925e-02,3.3357991775e-01,2.7702382280e-02,1.1366326809e+00,9.5273351669e-01,1.1790373325e+00,3.1785973907e-01,3.7251716852e-01,3.1036284566e-01
61,1.0727915168e+00,1.0080818305e-01,2.8514899369e-02,4.2117057630e-02,3.3647635579e-01,2.8526782155e-02,1.1173458099e+00,9.3323427439e-01,1.1677944660e+00,3.2154342532e-01,3.7639927864e-01,3.1148636341e-01
62,1.0550061464e+00,9.6678940595e-02,2.1352078931e-02,4.1079783209e-02,3.3952813347e-01,2.7350530178e-02,1.1004209518e+00,9.2061460018e-01,1.1439828873e+00,3.2372191548e-01,3.7800410390e-01,3.1685838103e-01
63,1.0384991964e+00,9.9692158205e-02,1.4317793556e-02,4.3036136377e-02,3.4246342381e-01,2.8281057942e-02,1.0812704563e+00,9.0077030659e-01,1.1334568262e+00,3.2742959261e-01,3.8207730651e-01,3.1788337231e-01
64,1.0218727787e+00,9.5944805985e-02,7.3985100520e-03,4.2100621963e-02,3.4528729320e-01,2.7068803509e-02,1.0653710365e+00,8.8881760836e-01,1.1114296913e+00,3.2967031002e-01,3.8336396217e-01,3.2282760739e-01
65,1.0054720640e+00,9.8121616652e-02,2.0991533789e-04,4.3778175260e-02,3.4824608763e-01,2.7906493188e-02,1.0476715565e+00,8.6989009380e-01,1.0988545418e+00,3.3281013370e-01,3.8741970062e-01,3.2450842857e-01
66,9.8966954152e-01,9.5426727395e-02,-6.6200507270e-03,4.3276993902e-02,3.5072966417e-01,2.6954867124e-02,1.0328418016e+00,8.5735172033e-01,1.0788151026e+00,3.3483502269e-01,3.8868311048e-01,3.2867085934e-01
67,9.7332046429e-01,9.6021414850e-02,-1.3953892743e-02,4.4289016652e-02,3.5380992293e-01,2.7260517944e-02,1.0153340101e+00,8.4048205614e-01,1.0641453266e+00,3.3830571175e-01,3.9213028550e-01,3.3099377155e-01
68,9.5862330993e-01,9.4776399262e-02,-2.0571602472e-02,4.4388731348e-02,3.5605122646e-01,2.6767583222e-02,1.0000952482e+00,8.2750660181e-01,1.0482680798e+00,3.4023776650e-01,3.9374396205e-01,3.3417195082e-01
69,9.4286330541e-01,9.4919163760e-02,-2.7853972534e-02,4.5218743357e-02,3.5906284054e-01,2.6893403931e-02,9.8384690285e-01,8.1167042255e-01,1.0330725908e+00,3.4344220161e-01,3.9690446854e-01,3.3684185147e-01
70,9.2856148879e-01,9.3383059497e-02,-3.4486882726e-02,4.5166167992e-02,3.6106647054e-01,2.6459476759e-02,9.6869146824e-01,7.9953420162e-01,1.0174587965e+00,3.4535735846e-01,3.9833316207e-01,3.3950889111e-01
71,9.1339915991e-01,9.3551524679e-02,-4.1722868200e-02,4.6005128544e-02,3.6391434073e-01,2.6406412147e-02,9.5244139433e-01,7.8440380096e-01,1.0033522844e+00,3.4837806225e-01,4.0109193325e-01,3.4227302670e-01
72,8.9864029487e-01,9.2016382542e-02,-4.8796365060e-02,4.5993305188e-02,3.6602227887e-01,2.6079339054e-02,9.3705844879e-01,7.7175784111e-01,9.8710459471e-01,3.5013639927e-01,4.0279102325e-01,3.4513941407e-01
73,8.8406308492e-01,9.2211618799e-02,-5.5990266522e-02,4.6873387560e-02,3.6874263485e-01,2.5924891841e-02,9.2208087444e-01,7.5702428818e-01,9.7308409214e-01,3.5333621502e-01,4.0525785089e-01,3.4763383865e-01
