lambda	t	m_w	m_x
1.	49	1.715669894272914e-7	1.715669894272914e-7
1.	50	1.3725357270328934e-7	1.3725357270328934e-7
1.	51	1.098028461059662e-7	1.098028461059662e-7
1.	52	8.784226916850857e-8	8.784226916850857e-8
1.	53	7.027381039639835e-8	7.027381039639835e-8
1.	54	5.6219045156537604e-8	5.6219045156537604e-8
1.	55	4.4975234102458375e-8	4.4975234102458375e-8
1.	56	3.5980185987392915e-8	3.5980185987392915e-8
1.	57	2.8784147961387152e-8	2.8784147961387152e-8
1.	58	2.3027317838852356e-8	2.3027317838852356e-8
1.	59	1.8421853931717184e-8	1.8421853931717184e-8
1.	60	1.4737482928180344e-8	1.4737482928180344e-8
1.	61	1.1789986203540502e-8	1.1789986203540502e-8
1.	62	9.431988873869988e-9	9.431988873869988e-9
1.	63	7.545591042160046e-9	7.545591042160046e-9
1.	64	6.0364727972890334e-9	6.0364727972890334e-9
1.	65	4.8291782145102645e-9	4.8291782145102645e-9
1.	66	3.863342556682797e-9	3.863342556682797e-9
1.	67	3.0906740357939717e-9	3.0906740357939717e-9
1.	68	2.472539222521727e-9	2.472539222521727e-9
1.	69	1.978031374104774e-9	1.978031374104774e-9
1.	70	1.5824250967797499e-9	1.5824250967797499e-9
1.	71	1.2659400758211959e-9	1.2659400758211959e-9
1.	72	1.01275205963129e-9	1.01275205963129e-9
1.	73	8.102016470486053e-10	8.102016470486053e-10
1.	74	6.481613172187711e-10	6.481613172187711e-10
1.	75	5.185290535061446e-10	5.185290535061446e-10
1.	76	4.148232426328374e-10	4.148232426328374e-10
1.	77	3.318585939961398e-10	3.318585939961398e-10
1.	78	2.654868751264285e-10	2.654868751264285e-10
1.	79	2.1238950005603352e-10	2.1238950005603352e-10
1.	80	1.6991160001595686e-10	1.6991160001595686e-10
1.	81	1.3592927999428872e-10	1.3592927999428872e-10
1.	82	1.0874342398360585e-10	1.0874342398360585e-10
1.	83	8.699473917931662e-11	8.699473917931662e-11
1.	84	6.959579133860972e-11	6.959579133860972e-11
1.	85	5.56766330677879e-11	5.56766330677879e-11
1.	86	4.4541306452246395e-11	4.4541306452246395e-11
1.	87	3.5633045160527404e-11	3.5633045160527404e-11
1.	88	2.8506436127609306e-11	2.8506436127609306e-11
1.	89	2.2805148901567373e-11	2.2805148901567373e-11
1.	90	1.824411912092105e-11	1.824411912092105e-11
1.	91	1.459529529652382e-11	1.459529529652382e-11
1.	92	1.1676236237082722e-11	1.1676236237082722e-11
1.	93	9.340988989578926e-12	9.340988989578926e-12
1.	94	7.472791191607298e-12	7.472791191607298e-12
1.	95	5.9782329532500994e-12	5.9782329532500994e-12
1.	96	4.7825863625772065e-12	4.7825863625772065e-12
1.	97	3.8260690900471265e-12	3.8260690900471265e-12
2.	0	0.01	0.01
2.	1	0.012639229007030572	0.012639229007030572
2.	2	0.0159226480510716	0.0159226480510716
2.	3	0.019977872695205123	0.019977872695205123
2.	4	0.024941836206066388	0.024941836206066388
2.	5	0.030952770564654897	0.030952770564654897
2.	6	0.03813777598973266	0.03813777598973266
2.	7	0.04659592860352031	0.04659592860352031
2.	8	0.05637816346474478	0.05637816346474478
2.	9	0.06746691797831299	0.06746691797831299
2.	10	0.07976019279947091	0.07976019279947091
2.	11	0.09306536262947075	0.09306536262947075
2.	12	0.10710684059150917	0.10710684059150917
2.	13	0.12154837792011178	0.12154837792011178
2.	14	0.1360263990060151	0.1360263990060151
2.	15	0.15018726969700866	0.15018726969700866
2.	16	0.1637204629716779	0.1637204629716779
2.	17	0.17638153159635994	0.17638153159635994
2.	18	0.18800243118471305	0.18800243118471305
2.	19	0.19849028888681	0.19849028888681
2.	20	0.20781792805612453	0.20781792805612453
2.	21	0.21601005629336104	0.21601005629336104
