lambda	t	m_w	m_x	m_y
3.	124	0.411269873677669	0.411269873677669	0.1691429089948458
3.	125	0.41126987367753126	0.41126987367753126	0.16914290899473253
3.	126	0.41126987367742107	0.41126987367742107	0.16914290899464188
3.	127	0.411269873677333	0.411269873677333	0.16914290899456944
3.	128	0.41126987367726253	0.41126987367726253	0.16914290899451148
3.	129	0.411269873677206	0.411269873677206	0.169142908994465
3.	130	0.41126987367716084	0.41126987367716084	0.16914290899442783
3.	131	0.4112698736771247	0.4112698736771247	0.1691429089943981
3.	132	0.41126987367709567	0.41126987367709567	0.16914290899437423
3.	133	0.41126987367707263	0.41126987367707263	0.16914290899435527
3.	134	0.4112698736770542	0.4112698736770542	0.16914290899434012
3.	135	0.41126987367703943	0.41126987367703943	0.16914290899432796
3.	136	0.41126987367702755	0.41126987367702755	0.1691429089943182
3.	137	0.41126987367701806	0.41126987367701806	0.1691429089943104
3.	138	0.41126987367701046	0.41126987367701046	0.16914290899430415
3.	139	0.4112698736770044	0.4112698736770044	0.16914290899429915
3.	140	0.4112698736769995	0.4112698736769995	0.16914290899429515
3.	141	0.41126987367699563	0.41126987367699563	0.16914290899429194
3.	142	0.4112698736769925	0.4112698736769925	0.16914290899428938
3.	143	0.41126987367699	0.41126987367699	0.16914290899428733
3.	144	0.411269873676988	0.411269873676988	0.16914290899428563
3.	145	0.41126987367698636	0.41126987367698636	0.16914290899428433
3.	146	0.4112698736769851	0.4112698736769851	0.16914290899428328
3.	147	0.41126987367698403	0.41126987367698403	0.16914290899428241
3.	148	0.41126987367698326	0.41126987367698326	0.16914290899428178
3.	149	0.41126987367698253	0.41126987367698253	0.16914290899428117
3.	150	0.411269873676982	0.411269873676982	0.16914290899428072
3.	151	0.4112698736769816	0.4112698736769816	0.1691429089942804
3.	152	0.4112698736769812	0.4112698736769812	0.16914290899428008
3.	153	0.41126987367698087	0.41126987367698087	0.1691429089942798
3.	154	0.41126987367698076	0.41126987367698076	0.16914290899427972
3.	155	0.41126987367698065	0.41126987367698065	0.1691429089942796
3.	156	0.41126987367698054	0.41126987367698054	0.16914290899427953
3.	157	0.4112698736769805	0.4112698736769805	0.16914290899427947
3.	158	0.4112698736769804	0.4112698736769804	0.16914290899427945
3.	159	0.41126987367698037	0.41126987367698037	0.1691429089942794
3.	160	0.4112698736769803	0.4112698736769803	0.16914290899427933
3.	161	0.41126987367698026	0.41126987367698026	0.1691429089942793
3.	162	0.4112698736769802	0.4112698736769802	0.16914290899427925
3.	163	0.41126987367698015	0.41126987367698015	0.1691429089942792
3.	164	0.4112698736769801	0.4112698736769801	0.16914290899427917
3.	165	0.41126987367698004	0.41126987367698004	0.1691429089942791
3.	166	0.41126987367698	0.41126987367698	0.16914290899427908
3.	167	0.41126987367698	0.41126987367698	0.16914290899427908
3.	168	0.41126987367698	0.41126987367698	0.16914290899427908
3.	169	0.41126987367698	0.41126987367698	0.16914290899427908
3.	170	0.41126987367698	0.41126987367698	0.16914290899427908
3.	171	0.41126987367698	0.41126987367698	0.16914290899427908
3.	172	0.41126987367698	0.41126987367698	0.16914290899427908
3.	173	0.41126987367698	0.41126987367698	0.16914290899427908
3.	174	0.41126987367698	0.41126987367698	0.16914290899427908
3.	175	0.41126987367698	0.41126987367698	0.16914290899427908
3.	176	0.41126987367698	0.41126987367698	0.16914290899427908
3.	177	0.41126987367698	0.41126987367698	0.16914290899427908
3.	178	0.41126987367698	0.41126987367698	0.16914290899427908
3.	179	0.41126987367698	0.41126987367698	0.16914290899427908
3.	180	0.41126987367698	0.41126987367698	0.16914290899427908
3.	181	0.41126987367698	0.41126987367698	0.16914290899427908
3.	182	0.41126987367698	0.41126987367698	0.16914290899427908
3.	183	0.41126987367698	0.41126987367698	0.16914290899427908
3.	184	0.41126987367698	0.41126987367698	0.16914290899427908
3.	185	0.41126987367698	0.41126987367698	0.16914290899427908
3.	186	0.41126987367698	0.41126987367698	0.16914290899427908
3.	187	0.41126987367698	0.41126987367698	0.16914290899427908
3.	188	0.41126987367698	0.41126987367698	0.16914290899427908
3.	189	0.41126987367698	0.41126987367698	0.16914290899427908
3.	190	0.41126987367698	0.41126987367698	0.16914290899427908
3.	191	0.41126987367698	0.41126987367698	0.16914290899427908
3.	192	0.41126987367698	0.41126987367698	0.16914290899427908
3.	193	0.41126987367698	0.41126987367698	0.16914290899427908
3.	194	0.41126987367698	0.41126987367698	0.16914290899427908
3.	195	0.41126987367698	0.41126987367698	0.16914290899427908
3.	196	0.41126987367698	0.41126987367698	0.16914290899427908
3.	197	0.41126987367698	0.41126987367698	0.16914290899427908
3.	198	0.41126987367698	0.41126987367698	0.16914290899427908
3.	199	0.41126987367698	0.41126987367698	0.16914290899427908
3.	200	0.41126987367698	0.41126987367698	0.16914290899427908
5.	0	1.	1.	1.
5.	1	0.975609756097561	0.975609756097561	0.9518143961927423
5.	2	0.9465269962196636	0.9465269962196636	0.8959133545726191
5.	3	0.9131238751294674	0.9131238751294674	0.8337952113314551
5.	4	0.8763169271861714	0.8763169271861714	0.7679313568730136
5.	5	0.8374909880723947	0.8374909880723947	0.7013911551024761
5.	6	0.7982783454475894	0.7982783454475894	0.6372483168105408
5.	7	0.7602664322723904	0.7602664322723904	0.5780050480401893
5.	8	0.7247443371426285	0.7247443371426285	0.525254354220308
5.	9	0.6925674023208557	0.6925674023208557	0.479649606757458
5.	10	0.6641507825422728	0.6641507825422728	0.4410962619515133
5.	11	0.6395500924674749	0.6395500924674749	0.40902432077515566
5.	12	0.618574304614535	0.618574304614535	0.38263417032935554
5.	13	0.600891306400767	0.600891306400767	0.3610703621080205
5.	14	0.586108289654568	0.586108289654568	0.34352292720180294
5.	15	0.5738247333647367	0.5738247333647367	0.3292748246211112
5.	16	0.5636630342340054	0.5636630342340054	0.3177160161618856
5.	17	0.5552835149510753	0.5552835149510753	0.3083397819764211
5.	18	0.5483896260369817	0.5483896260369817	0.30073118194498066
5.	19	0.5427275463812696	0.5427275463812696	0.29455318960103316
5.	20	0.5380829206765592	0.5380829206765592	0.28953322952381627
5.	21	0.5342763872259859	0.5342763872259859	0.2854512579472516
5.	22	0.5311588296134795	0.5311588296134795	0.28212970227636136
5.	23	0.5286068396491237	0.5286068396491237	0.2794251909238344
5.	24	0.5265186166269173	0.5265186166269173	0.27722185365472274
5.	25	0.5248103808306913	0.5248103808306913	0.27542593582765523
5.	26	0.5234133012581973	0.5234133012581973	0.2739614839340044
5.	27	0.5222708995762517	0.5222708995762517	0.27276689254418723
5.	28	0.521336876736149	0.521336876736149	0.27179213904500266
5.	29	0.5205733051048784	0.5205733051048784	0.27099656598781685
5.	30	0.5199491314615883	0.5199491314615883	0.27034709930766
5.	31	0.5194389414451194	0.5194389414451194	0.26981681388962614
5.	32	0.5190219422114583	0.5190219422114583	0.26938377649695433
5.	33	0.5186811262310932	0.5186811262310932	0.26903011070835525
5.	34	0.5184025848735309	0.5184025848735309	0.26874124000355837
5.	35	0.5181749455049066	0.5181749455049066	0.26850527414901293
5.	36	0.5179889102219924	0.5179889102219924	0.26831251111296733
5.	37	0.5178368780909114	0.5178368780909114	0.2681550323109414
5.	38	0.5177126359129525	0.5177126359129525	0.26802637338393726
5.	39	0.5176111051758036	0.5176111051758036	0.2679212562013168
5.	40	0.5175281350393278	0.5175281350393278	0.26783537055728474
5.	41	0.5174603330186002	0.5174603330186002	0.2677651962477206
5.	42	0.5174049265238244	0.5174049265238244	0.2677078579911241
5.	43	0.5173596496495496	0.5173596496495496	0.2676610070855047
5.	44	0.5173226506191926	0.5173226506191926	0.26762272484366717
5.	45	0.5172924161231617	0.5172924161231617	0.2675914437785383
5.	46	0.5172677094716159	0.5172677094716159	0.2675658832620121
5.	47	0.5172475200425186	0.5172475200425186	0.2675449969901357
5.	48	0.5172310219640841	0.5172310219640841	0.26752793008201087
5.	49	0.517217540346069	0.517217540346069	0.26751398404163756
5.	50	0.5172065236815849	0.5172065236815849	0.26750258813878985
5.	51	0.5171975212924778	0.5171975212924778	0.26749327603108297
5.	52	0.5171901648969481	0.5171901648969481	0.2674856666661324
5.	53	0.5171841535462609	0.5171841535462609	0.26747944867936235
5.	54	0.5171792413149072	0.5171792413149072	0.26747436764706306
5.	55	0.517175227241025	0.517175227241025	0.2674702156718059
5.	56	0.517171947105802	0.517171947105802	0.2674668228732065
5.	57	0.51716926671573	0.51716926671573	0.2674640504352859
5.	58	0.5171670764129983	0.5171670764129983	0.26746178492556805
5.	59	0.5171652865895229	0.5171652865895229	0.26745993365322335
5.	60	0.5171638240211338	0.5171638240211338	0.2674584208761623
5.	61	0.5171626288719867	0.5171626288719867	0.26745718470178426
5.	62	0.5171616522466641	0.5171616522466641	0.26745617455449955
5.	63	0.5171608541898394	0.5171608541898394	0.2674553491063643
5.	64	0.5171602020516718	0.5171602020516718	0.267454674586126
5.	65	0.5171596691520707	0.5171596691520707	0.2674541233974792
5.	66	0.5171592336891813	0.5171592336891813	0.2674536729899812
5.	67	0.5171588778474431	0.5171588778474431	0.26745330493642655
5.	68	0.5171585870687304	0.5171585870687304	0.2674530041789256
5.	69	0.5171583494567573	0.5171583494567573	0.2674527584128375
5.	70	0.5171581552903827	0.5171581552903827	0.26745255758335157
5.	71	0.5171579966259019	0.5171579966259019	0.26745239347411637
5.	72	0.5171578669720565	0.5171578669720565	0.26745225937108724
5.	73	0.5171577610244661	0.5171577610244661	0.26745214978783877
5.	74	0.5171576744486168	0.5171576744486168	0.2674520602411015
5.	75	0.5171576037025281	0.5171576037025281	0.2674519870673411
5.	76	0.5171575458918443	0.5171575458918443	0.267451927272875
5.	77	0.5171574986514216	0.5171574986514216	0.2674518784113951
5.	78	0.5171574600485651	0.5171574600485651	0.2674518384838832
5.	79	0.5171574285039593	0.5171574285039593	0.26745180585682776
5.	80	0.5171574027270543	0.5171574027270543	0.2674517791953927
5.	81	0.5171573816632684	0.5171573816632684	0.26745175740880744
