step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
58,2.5601092279e-01,1.2269027970e-02,-5.9223118986e-01,2.0530047617e-02,2.6188033819e-01,2.4257448316e-01,2.5227448344e-01,2.4650000036e-01,2.7682530880e-01
59,2.5604548752e-01,1.2334944752e-02,-5.9217710475e-01,2.0618904576e-02,2.6165288687e-01,2.4274218082e-01,2.5218066573e-01,2.4648682773e-01,2.7716487646e-01
60,2.5583064854e-01,1.2408360442e-02,-5.9254860686e-01,2.0765526689e-02,2.6152414083e-01,2.4222458899e-01,2.5200349092e-01,2.4639138579e-01,2.7700963616e-01
61,2.5621735156e-01,1.3262066871e-02,-5.9196031536e-01,2.2104647083e-02,2.6124638319e-01,2.4166651070e-01,2.5220686197e-01,2.4663192034e-01,2.7933508158e-01
62,2.5700195134e-01,1.4768448270e-02,-5.9075943696e-01,2.4401848472e-02,2.6131379604e-01,2.4188682437e-01,2.5193732977e-01,2.4633575976e-01,2.8353604674e-01
63,2.5871233940e-01,1.7899025285e-02,-5.8817690830e-01,2.9058156179e-02,2.6121941209e-01,2.4232354760e-01,2.5176391006e-01,2.4608647823e-01,2.9216834903e-01
64,2.6112566292e-01,2.2802732188e-02,-5.8470413680e-01,3.6152507808e-02,2.6104030013e-01,2.4207875133e-01,2.5157371163e-01,2.4601952732e-01,3.0491602421e-01
65,2.6586712301e-01,3.2383756995e-02,-5.7826416802e-01,4.9234049153e-02,2.6089245081e-01,2.4147085845e-01,2.5161421299e-01,2.4603202939e-01,3.2932606339e-01
66,2.6498625278e-01,3.0597907627e-02,-5.7942353862e-01,4.6872758969e-02,2.6081603765e-01,2.4133354425e-01,2.5174057484e-01,2.4624234438e-01,3.2479876280e-01
67,2.6332475543e-01,2.7357857302e-02,-5.8167312510e-01,4.2501931248e-02,2.6097530127e-01,2.4185638130e-01,2.5141850114e-01,2.4585984647e-01,3.1651374698e-01
68,2.6415821314e-01,2.9060560138e-02,-5.8054862851e-01,4.4800142521e-02,2.6075047255e-01,2.4196632206e-01,2.5137215853e-01,2.4581257999e-01,3.2088953257e-01
69,2.6416977346e-01,2.9588534996e-02,-5.8061447071e-01,4.5565229136e-02,2.6064613461e-01,2.4146184325e-01,2.5115582347e-01,2.4564890563e-01,3.2193616033e-01
70,2.7052336335e-01,4.2141813007e-02,-5.7245330014e-01,6.1635337685e-02,2.6045566797e-01,2.4101629853e-01,2.5144407153e-01,2.4588990211e-01,3.5381087661e-01
71,3.2788221836e-01,1.5638898130e-01,-5.2084337601e-01,1.6402302915e-01,2.6059994102e-01,2.4130593240e-01,2.5126147270e-01,2.4584780633e-01,6.4039593935e-01
72,3.5034967661e-01,2.0135095076e-01,-5.0682846130e-01,1.9208168550e-01,2.6054990292e-01,2.4169370532e-01,2.5109419227e-01,2.4555861950e-01,7.5285196304e-01
