step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
27,2.2116391667e+05,1.5724897330e+03,5.3447032748e+00,3.0921146019e-03,5.5290980575e-03,3.9312143891e-05,2.3178939025e-01,2.1875407616e-03,2.2284673438e+05,2.2158154688e+05,2.1906346875e+05,5.5711683817e-03,5.5395388044e-03,5.4765869863e-03,2.3475719988e-01,2.2954912484e-01,2.3106184602e-01
28,2.0000390104e+05,1.4236498614e+03,5.3010274469e+00,3.0950063383e-03,5.0000975219e-03,3.5591205102e-05,2.3254034420e-01,2.1899864855e-03,2.0156660938e+05,2.0032192188e+05,1.9812317188e+05,5.0391652621e-03,5.0080479123e-03,4.9530793913e-03,2.3550957441e-01,2.3029296100e-01,2.3181849718e-01
29,1.8118148438e+05,1.2902224897e+03,5.2581027875e+00,3.0956664829e-03,4.5295370122e-03,3.2255480292e-05,2.3324257632e-01,2.1921198016e-03,1.8263323438e+05,1.8141285938e+05,1.7949835938e+05,4.5658308081e-03,4.5353211462e-03,4.4874590822e-03,2.3621280491e-01,2.3098844290e-01,2.3252648115e-01
30,1.6439475000e+05,1.1709326278e+03,5.2158769169e+00,3.0955979650e-03,4.1098686246e-03,2.9273311438e-05,2.3390036821e-01,2.1939875225e-03,1.6574487500e+05,1.6455004688e+05,1.6288932812e+05,4.1436217725e-03,4.1137509979e-03,4.0722331032e-03,2.3687124252e-01,2.3163981736e-01,2.3319004476e-01
31,1.4938914062e+05,1.0641903506e+03,5.1743080026e+00,3.0952196397e-03,3.7347285543e-03,2.6604885453e-05,2.3451749980e-01,2.1956039930e-03,1.5064535938e+05,1.4947879688e+05,1.4804326562e+05,3.7661341485e-03,3.7369700149e-03,3.7010814995e-03,2.3748870194e-01,2.3225088418e-01,2.3381291330e-01
32,1.3594480208e+05,9.6875867287e+02,5.1333515766e+00,3.0954764259e-03,3.3986200579e-03,2.4218924864e-05,2.3509737849e-01,2.1970413658e-03,1.3711470312e+05,1.3597729688e+05,1.3474240625e+05,3.4278675448e-03,3.3994324040e-03,3.3685602248e-03,2.3806868494e-01,2.3282496631e-01,2.3439848423e-01
33,1.2387447135e+05,8.8376108026e+02,5.0929707627e+00,3.0981745448e-03,3.0968617648e-03,2.2094125654e-05,2.3564296464e-01,2.1982971444e-03,1.2496510938e+05,1.2385776562e+05,1.2280053906e+05,3.1241278630e-03,3.0964440666e-03,3.0700133648e-03,2.3861415684e-01,2.3336504400e-01,2.3494969308e-01
34,1.1301677344e+05,8.0754506614e+02,5.0531318229e+00,3.1020680345e-03,2.8254192633e-03,2.0188627664e-05,2.3615698020e-01,2.1994161645e-03,1.1403396094e+05,1.1295783594e+05,1.1205852344e+05,2.8508489486e-03,2.8239458334e-03,2.8014630079e-03,2.3912790418e-01,2.3387379944e-01,2.3546923697e-01
35,1.0323174479e+05,7.3972938003e+02,5.0138021275e+00,3.1099984012e-03,2.5807936521e-03,1.8493245423e-05,2.3664180934e-01,2.2004179390e-03,1.0418142969e+05,1.0313686719e+05,1.0237693750e+05,2.6045357808e-03,2.5784217287e-03,2.5594234467e-03,2.3961234093e-01,2.3435360193e-01,2.3595948517e-01
36,9.4398463542e+04,6.7901389940e+02,4.9749537045e+00,3.1209588114e-03,2.3599616252e-03,1.6975329595e-05,2.3709964752e-01,2.2013250081e-03,9.5285585938e+04,9.4273257812e+04,9.3636546875e+04,2.3821396753e-03,2.3568314500e-03,2.3409137502e-03,2.4006970227e-01,2.3480664194e-01,2.3642259836e-01
37,8.6411083333e+04,6.2485436918e+02,4.9365581139e+00,3.1365962428e-03,2.1602770624e-03,1.5621432991e-05,2.3753246665e-01,2.2021351487e-03,8.7240625000e+04,8.6260054688e+04,8.5732570312e+04,2.1810156759e-03,2.1565014031e-03,2.1433141083e-03,2.4050195515e-01,2.3523488641e-01,2.3686055839e-01
38,7.9177562500e+04,5.7626699261e+02,4.8985906482e+00,3.1561023795e-03,1.9794390537e-03,1.4406583234e-05,2.3794203500e-01,2.2028922450e-03,7.9953554688e+04,7.9005210938e+04,7.8573921875e+04,1.9988387357e-03,1.9751302898e-03,1.9643481355e-03,2.4091091752e-01,2.3564003408e-01,2.3727515340e-01
39,7.2617281250e+04,5.3286843621e+02,4.8610283200e+00,3.1812404117e-03,1.8154320618e-03,1.3321800037e-05,2.3832999667e-01,2.2035950711e-03,7.3343789062e+04,7.2427414062e+04,7.2080640625e+04,1.8335948698e-03,1.8106853822e-03,1.8020159332e-03,2.4129824340e-01,2.3602375388e-01,2.3766799271e-01
40,6.6659666667e+04,4.9391888900e+02,4.8238512477e+00,3.2114778639e-03,1.6664916184e-03,1.2347936416e-05,2.3869776726e-01,2.2042266772e-03,6.7340218750e+04,6.6455664062e+04,6.6183117188e+04,1.6835053684e-03,1.6613915795e-03,1.6545779072e-03,2.4166531861e-01,2.3638746142e-01,2.3804052174e-01
41,6.1242042969e+04,4.5907175282e+02,4.7870375044e+00,3.2482541932e-03,1.5310510838e-03,1.1476769637e-05,2.3904673258e-01,2.2048222484e-03,6.1880089844e+04,6.1026906250e+04,6.0819132812e+04,1.5470022336e-03,1.5256726183e-03,1.5204783995e-03,2.4201357365e-01,2.3673249781e-01,2.3839412630e-01
42,5.6309408854e+04,4.2773057910e+02,4.7505684788e+00,3.2909905493e-03,1.4077352438e-03,1.0693280958e-05,2.3937811454e-01,2.2053982274e-03,5.6908007812e+04,5.6085539062e+04,5.5934679688e+04,1.4227002393e-03,1.4021384995e-03,1.3983669924e-03,2.4234427512e-01,2.3706011474e-01,2.3872995377e-01
43,5.1813278646e+04,3.9940508292e+02,4.7144282153e+00,3.3391936741e-03,1.2953319820e-03,9.9851124331e-06,2.3969301085e-01,2.2059461299e-03,5.2375085938e+04,5.1583031250e+04,5.1481718750e+04,1.3093771413e-03,1.2895758264e-03,1.2870429782e-03,2.4265848100e-01,2.3737135530e-01,2.3904919624e-01
44,4.7710451823e+04,3.7382784203e+02,4.6786002459e+00,3.3936945589e-03,1.1927613135e-03,9.3456791467e-06,2.3999248942e-01,2.2064480711e-03,4.8238062500e+04,4.7475648438e+04,4.7417644531e+04,1.2059515575e-03,1.1868912261e-03,1.1854411568e-03,2.4295726418e-01,2.3766736686e-01,2.3935283720e-01
