step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
52,1.5851553679e+05,2.7937124540e+02,5.2000711618e+00,7.6493441378e-04,2.9080623388e-01,3.2672806085e-03,1.5891062021e+05,1.5831593275e+05,1.5832005739e+05,2.9323205352e-01,2.8618755937e-01,2.9299908876e-01
53,1.7336780628e+05,3.8143594529e+02,5.2389674029e+00,9.5539430791e-04,3.2362648845e-01,3.3456921786e-03,1.7384921312e+05,1.7291632891e+05,1.7333787680e+05,3.2612854242e-01,3.1889763474e-01,3.2585328817e-01
54,1.9138129552e+05,5.7541742500e+02,5.2818975249e+00,1.3068855412e-03,3.5516834259e-01,3.2818769526e-03,1.9192994833e+05,1.9058649540e+05,1.9162744284e+05,3.5765570402e-01,3.5053116083e-01,3.5731816292e-01
55,2.1252815723e+05,8.7092767447e+02,5.3274128230e+00,1.7822940833e-03,3.8388474782e-01,3.0753959025e-03,2.1310899258e+05,2.1129713058e+05,2.1317834854e+05,3.8627624512e-01,3.7954294682e-01,3.8583505154e-01
56,2.3690032959e+05,1.2640656388e+03,5.3745594696e+00,2.3209551341e-03,4.0856849154e-01,2.7542678330e-03,2.3746433258e+05,2.3514924049e+05,2.3808741570e+05,4.1080504656e-01,4.0468844771e-01,4.1021198034e-01
57,2.6457819144e+05,1.7412034289e+03,5.4225446220e+00,2.8619275088e-03,4.2854401469e-01,2.3656559683e-03,2.6506588459e+05,2.6224405766e+05,2.6642463207e+05,4.3059298396e-01,4.2522916198e-01,4.2980989814e-01
58,2.9554459254e+05,2.2807137017e+03,5.4706100707e+00,3.3544361432e-03,4.4368119041e-01,1.9623439875e-03,2.9588844776e+05,2.9259529114e+05,2.9815003872e+05,4.4553473592e-01,4.4096571207e-01,4.4454312325e-01
59,3.2966059049e+05,2.8555579049e+03,5.5180507321e+00,3.7631348185e-03,4.5427604516e-01,1.5917252238e-03,3.2978546619e+05,3.2610249519e+05,3.3309381008e+05,4.5594668388e-01,4.5213416219e-01,4.5474728942e-01
60,3.6668420633e+05,3.4372980451e+03,5.5642731314e+00,4.0698015818e-03,4.6088221669e-01,1.2895629249e-03,3.6650662422e+05,3.6256599426e+05,3.7098000050e+05,4.6239715815e-01,4.5924544334e-01,4.6100404859e-01
61,4.0630863508e+05,3.9993493117e+03,5.6088350412e+00,4.2705889898e-03,4.6415914098e-01,1.0764427956e-03,4.0573573112e+05,4.0172209740e+05,4.1146807671e+05,4.6555492282e-01,4.6293500066e-01,4.6398749948e-01
62,4.4820117950e+05,4.5201793988e+03,5.6514509581e+00,4.3726225567e-03,4.6476492286e-01,9.5453166267e-04,4.4713125229e+05,4.4327816963e+05,4.5419411659e+05,4.6608251333e-01,4.6385183930e-01,4.6436041594e-01
63,4.9203378359e+05,4.9850974409e+03,5.6919727013e+00,4.3899530842e-03,4.6329636375e-01,9.0694984791e-04,4.9035806656e+05,4.8694114685e+05,4.9880213737e+05,4.6457701921e-01,4.6259456873e-01,4.6271750331e-01
64,5.3749996821e+05,5.3885808861e+03,5.7303567011e+00,4.3415074956e-03,4.6026373903e-01,9.0817098079e-04,5.3510413170e+05,5.3243288994e+05,5.4496288300e+05,4.6154624224e-01,4.5968207717e-01,4.5956289768e-01
65,5.8432329496e+05,5.7345538307e+03,5.7666323757e+00,4.2484387977e-03,4.5608673493e-01,9.3756809084e-04,5.8109102249e+05,5.7949800491e+05,5.9238085747e+05,4.5740556717e-01,4.5554590225e-01,4.5530873537e-01
66,6.3225466410e+05,6.0383042536e+03,5.8008723234e+00,4.1338899993e-03,4.5110240579e-01,9.8414375005e-04,6.2806944847e+05,6.2790098190e+05,6.4079356194e+05,4.5248657465e-01,4.5053628087e-01,4.5028436184e-01
67,6.8106849988e+05,6.3253146356e+03,5.8331721411e+00,4.0210089017e-03,4.4557674726e-01,1.0441918235e-03,6.7581667900e+05,6.7742319107e+05,6.8996562958e+05,4.4704964757e-01,4.4493210316e-01,4.4474849105e-01
68,7.3055458069e+05,6.6303308678e+03,5.8636348396e+00,3.9320009415e-03,4.3971742193e-01,1.1169493181e-03,7.2412786484e+05,7.2785482407e+05,7.3968105316e+05,4.4129675627e-01,4.3895307183e-01,4.3890243769e-01
