step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
47,2.0698148410e+00,7.2839955478e-04,3.1593146970e-01,1.5283918163e-04,-3.2362819960e-03,3.5090389247e-04,2.0688862801e+00,2.0698928833e+00,2.0706653595e+00,-2.7808034793e-03,-3.2934199553e-03,-3.6346225534e-03
48,2.0699488322e+00,7.3451669201e-04,3.1595958277e-01,1.5411340501e-04,-3.2443773622e-03,3.5080101908e-04,2.0690076351e+00,2.0700387955e+00,2.0708000660e+00,-2.7889630292e-03,-3.3016721718e-03,-3.6424968857e-03
49,2.0700811545e+00,7.4079984923e-04,3.1598734386e-01,1.5542241345e-04,-3.2526471186e-03,3.5070899709e-04,2.0691273212e+00,2.0701828003e+00,2.0709333420e+00,-2.7972802054e-03,-3.3101073932e-03,-3.6505537573e-03
50,2.0702116489e+00,7.4702383749e-04,3.1601471973e-01,1.5671895546e-04,-3.2610675941e-03,3.5062834784e-04,2.0692455769e+00,2.0703244209e+00,2.0710649490e+00,-2.8057401069e-03,-3.3186783548e-03,-3.6587843206e-03
51,2.0703401566e+00,7.5353752511e-04,3.1604167707e-01,1.5807628103e-04,-3.2696262157e-03,3.5058902871e-04,2.0693614483e+00,2.0704643726e+00,2.0711946487e+00,-2.8142742813e-03,-3.3274199814e-03,-3.6671843845e-03
52,2.0704664389e+00,7.6030241524e-04,3.1606816595e-01,1.5948630026e-04,-3.2783333833e-03,3.5058374094e-04,2.0694749355e+00,2.0706019402e+00,2.0713224411e+00,-2.8229069430e-03,-3.3363306429e-03,-3.6757625639e-03
53,2.0705910524e+00,7.6720876874e-04,3.1609430315e-01,1.6092594239e-04,-3.2871825000e-03,3.5058996882e-04,2.0695867538e+00,2.0707376003e+00,2.0714488029e+00,-2.8316618409e-03,-3.3453973010e-03,-3.6844883580e-03
54,2.0707132816e+00,7.7424993678e-04,3.1611993873e-01,1.6239386715e-04,-3.2961822581e-03,3.5060120172e-04,2.0696961880e+00,2.0708706379e+00,2.0715730190e+00,-2.8405562043e-03,-3.3546274062e-03,-3.6933631636e-03
55,2.0708337625e+00,7.8133192234e-04,3.1614520611e-01,1.6387031439e-04,-3.3053415051e-03,3.5062782469e-04,2.0698039532e+00,2.0710017681e+00,2.0716955662e+00,-2.8495874722e-03,-3.3640263136e-03,-3.7024107296e-03
56,2.0709522565e+00,7.8857348608e-04,3.1617005535e-01,1.6538022474e-04,-3.3146549637e-03,3.5065973264e-04,2.0699095726e+00,2.0711309910e+00,2.0718162060e+00,-2.8587637935e-03,-3.3735863399e-03,-3.7116147578e-03
57,2.0710684458e+00,7.9583091582e-04,3.1619441987e-01,1.6689346323e-04,-3.3241247293e-03,3.5070062822e-04,2.0700130463e+00,2.0712575912e+00,2.0719347000e+00,-2.8680830728e-03,-3.3833086491e-03,-3.7209824659e-03
58,2.0711828073e+00,8.0328924992e-04,3.1621839973e-01,1.6844879804e-04,-3.3337449810e-03,3.5076051913e-04,2.0701146126e+00,2.0713820457e+00,2.0720517635e+00,-2.8775271494e-03,-3.3931874204e-03,-3.7305203732e-03
59,2.0712951024e+00,8.1062030168e-04,3.1624194503e-01,1.6997745443e-04,-3.3435216174e-03,3.5083058645e-04,2.0702142715e+00,2.0715045929e+00,2.0721664429e+00,-2.8871130198e-03,-3.4032280091e-03,-3.7402238231e-03
60,2.0714051723e+00,8.1810173176e-04,3.1626502248e-01,1.7153763128e-04,-3.3534581307e-03,3.5091254799e-04,2.0703117847e+00,2.0716242790e+00,2.0722794533e+00,-2.8968406841e-03,-3.4134374000e-03,-3.7500963081e-03
61,2.0715135733e+00,8.2568596747e-04,3.1628774880e-01,1.7311936704e-04,-3.3635586345e-03,3.5099980015e-04,2.0704073906e+00,2.0717427731e+00,2.0723905563e+00,-2.9067250434e-03,-3.4238130320e-03,-3.7601378281e-03
62,2.0716199875e+00,8.3302853329e-04,3.1631005743e-01,1.7465040757e-04,-3.3738196362e-03,3.5109444206e-04,2.0705015659e+00,2.0718586445e+00,2.0724997520e+00,-2.9167612083e-03,-3.4343483858e-03,-3.7703493144e-03
63,2.0717243354e+00,8.4080912429e-04,3.1633193171e-01,1.7627331096e-04,-3.3842419895e-03,3.5119791248e-04,2.0705931187e+00,2.0719726086e+00,2.0726072788e+00,-2.9269468505e-03,-3.4450478852e-03,-3.7807312328e-03
64,2.0718270143e+00,8.4836045241e-04,3.1635345507e-01,1.7784811134e-04,-3.3948245303e-03,3.5130819172e-04,2.0706834793e+00,2.0720844269e+00,2.0727131367e+00,-2.9372822028e-03,-3.4559131600e-03,-3.7912782282e-03
65,2.0719277859e+00,8.5594071854e-04,3.1637457755e-01,1.7942899161e-04,-3.4055695869e-03,3.5142693460e-04,2.0707719326e+00,2.0721943378e+00,2.0728170872e+00,-2.9477681965e-03,-3.4669449087e-03,-3.8019956555e-03
66,2.0720269680e+00,8.6363129943e-04,3.1639536584e-01,1.8103298156e-04,-3.4164777802e-03,3.5155201444e-04,2.0708587170e+00,2.0723025799e+00,2.0729196072e+00,-2.9584083240e-03,-3.4781431314e-03,-3.8128818851e-03
67,2.0721244812e+00,8.7115906396e-04,3.1641580336e-01,1.8260284132e-04,-3.4275487221e-03,3.5168484981e-04,2.0709440708e+00,2.0724091530e+00,2.0730202198e+00,-2.9692000244e-03,-3.4895085264e-03,-3.8239376154e-03
68,2.0722201665e+00,8.7890407030e-04,3.1643585681e-01,1.8421822575e-04,-3.4387831887e-03,3.5182287371e-04,2.0710275173e+00,2.0725133419e+00,2.0731196404e+00,-2.9801481869e-03,-3.5010394640e-03,-3.8351619150e-03
69,2.0723144213e+00,8.8653514213e-04,3.1645560954e-01,1.8580970155e-04,-3.4501800934e-03,3.5196894401e-04,2.0711097717e+00,2.0726158619e+00,2.0732176304e+00,-2.9912493192e-03,-3.5127319861e-03,-3.8465589751e-03
70,2.0724070072e+00,8.9413237882e-04,3.1647501163e-01,1.8739410889e-04,-3.4617377290e-03,3.5212180396e-04,2.0711903572e+00,2.0727169514e+00,2.0733137131e+00,-3.0025013257e-03,-3.5245893523e-03,-3.8581225090e-03
71,2.0724972884e+00,9.0207101853e-04,3.1649392986e-01,1.8905012317e-04,-3.4734606743e-03,3.5228484586e-04,2.0712683201e+00,2.0728154182e+00,2.0734081268e+00,-3.0139025766e-03,-3.5366213415e-03,-3.8698581047e-03
72,2.0725840727e+00,9.0954177328e-04,3.1651211457e-01,1.9060826132e-04,-3.4853310790e-03,3.5246333090e-04,2.0713434219e+00,2.0729103088e+00,2.0734984875e+00,-3.0254255980e-03,-3.5488181747e-03,-3.8817494642e-03
73,2.0726648172e+00,9.1682729912e-04,3.1652903296e-01,1.9212795935e-04,-3.4973136305e-03,3.5264161823e-04,2.0714130402e+00,2.0729980469e+00,2.0735833645e+00,-3.0370568857e-03,-3.5611381754e-03,-3.8937458303e-03
74,2.0727357864e+00,9.2328425140e-04,3.1654390261e-01,1.9347480005e-04,-3.5093771294e-03,3.5280743812e-04,2.0714740753e+00,2.0730755329e+00,2.0736577511e+00,-3.0487757176e-03,-3.5735622514e-03,-3.9057934191e-03
75,2.0727912585e+00,9.2924776876e-04,3.1655552480e-01,1.9471954823e-04,-3.5214706634e-03,3.5296304112e-04,2.0715205669e+00,2.0731363297e+00,2.0737168789e+00,-3.0605390202e-03,-3.5860121716e-03,-3.9178607985e-03
76,2.0728278160e+00,9.3519650423e-04,3.1656318376e-01,1.9596286661e-04,-3.5335152255e-03,3.5312125437e-04,2.0715484619e+00,2.0731770992e+00,2.0737578869e+00,-3.0722403899e-03,-3.5984388087e-03,-3.9298664778e-03
77,2.0728420417e+00,9.4090911454e-04,3.1656616374e-01,1.9715872443e-04,-3.5454654135e-03,3.5328137784e-04,2.0715546608e+00,2.0731942654e+00,2.0737771988e+00,-3.0838297680e-03,-3.6108111963e-03,-3.9417552762e-03
78,2.0728321870e+00,9.4592947757e-04,3.1656409854e-01,1.9821175274e-04,-3.5572571990e-03,3.5346116829e-04,2.0715379715e+00,2.0731861591e+00,2.0737724304e+00,-3.0952424277e-03,-3.6230103578e-03,-3.9535188116e-03
79,2.0727984905e+00,9.5035669315e-04,3.1655703806e-01,1.9914270358e-04,-3.5688974118e-03,3.5364002075e-04,2.0714986324e+00,2.0731525421e+00,2.0737442970e+00,-3.1064925715e-03,-3.6350900773e-03,-3.9651095867e-03
80,2.0727407138e+00,9.5418309177e-04,3.1654493208e-01,1.9995006695e-04,-3.5803171340e-03,3.5383690793e-04,2.0714361668e+00,2.0730941296e+00,2.0736918449e+00,-3.1175075565e-03,-3.6469302140e-03,-3.9765136316e-03
81,2.0726579030e+00,9.5821247241e-04,3.1652758029e-01,2.0080238705e-04,-3.5914715845e-03,3.5401497494e-04,2.0713486671e+00,2.0730097294e+00,2.0736153126e+00,-3.1282533891e-03,-3.6585766356e-03,-3.9875847287e-03
82,2.0725514889e+00,9.6118386344e-04,3.1650528192e-01,2.0143527867e-04,-3.6023328236e-03,3.5422311735e-04,2.0712392330e+00,2.0729005337e+00,2.0735146999e+00,-3.1386944465e-03,-3.6698637996e-03,-3.9984402247e-03
83,2.0724208355e+00,9.6391820680e-04,3.1647790292e-01,2.0202089697e-04,-3.6128732221e-03,3.5445449494e-04,2.0711059570e+00,2.0727667809e+00,2.0733897686e+00,-3.1487755477e-03,-3.6808580626e-03,-4.0089860559e-03
84,2.0722670555e+00,9.6601190722e-04,3.1644567553e-01,2.0247454105e-04,-3.6230799742e-03,3.5468436864e-04,2.0709505081e+00,2.0726094246e+00,2.0732412338e+00,-3.1585034449e-03,-3.6915757228e-03,-4.0191607550e-03
85,2.0720911026e+00,9.6794926623e-04,3.1640879851e-01,2.0289759611e-04,-3.6329589784e-03,3.5490198739e-04,2.0707733631e+00,2.0724289417e+00,2.0730710030e+00,-3.1679200474e-03,-3.7019632291e-03,-4.0289936587e-03
86,2.0718936125e+00,9.6960354962e-04,3.1636740396e-01,2.0326345326e-04,-3.6424919963e-03,3.5514907499e-04,2.0705752373e+00,2.0722262859e+00,2.0728793144e+00,-3.1769459601e-03,-3.7120275665e-03,-4.0385024622e-03
87,2.0716755390e+00,9.7022342606e-04,3.1632169058e-01,2.0341448795e-04,-3.6516498464e-03,3.5535639874e-04,2.0703580379e+00,2.0720024109e+00,2.0726661682e+00,-3.1856412534e-03,-3.7217300851e-03,-4.0475782007e-03
88,2.0714372794e+00,9.7062124144e-04,3.1627174024e-01,2.0352095309e-04,-3.6603679570e-03,3.5553794126e-04,2.0701210499e+00,2.0717580318e+00,2.0724327564e+00,-3.1939544715e-03,-3.7309257314e-03,-4.0562236682e-03
89,2.0711796284e+00,9.7042514300e-04,3.1621771815e-01,2.0350474439e-04,-3.6686459401e-03,3.5574736692e-04,2.0698657036e+00,2.0714933872e+00,2.0721797943e+00,-3.2017936464e-03,-3.7396806292e-03,-4.0644635446e-03
90,2.0709025860e+00,9.6979341226e-04,3.1615962279e-01,2.0339906882e-04,-3.6764537605e-03,3.5597380284e-04,2.0695915222e+00,2.0712094307e+00,2.0719068050e+00,-3.2091462053e-03,-3.7479540333e-03,-4.0722610429e-03
91,2.0706075827e+00,9.6845987478e-04,3.1609775259e-01,2.0314788522e-04,-3.6838487722e-03,3.5618600380e-04,2.0693004131e+00,2.0709071159e+00,2.0716152191e+00,-3.2161024865e-03,-3.7558183540e-03,-4.0796254762e-03
92,2.0702955723e+00,9.6657075780e-04,3.1603230597e-01,2.0278176761e-04,-3.6907732332e-03,3.5639354333e-04,2.0689928532e+00,2.0705883503e+00,2.0713055134e+00,-3.2225847244e-03,-3.7632377353e-03,-4.0864972398e-03
93,2.0699671904e+00,9.6426393884e-04,3.1596341469e-01,2.0232942957e-04,-3.6972676559e-03,3.5659393533e-04,2.0686697960e+00,2.0702521801e+00,2.0709795952e+00,-3.2286492642e-03,-3.7702186964e-03,-4.0929350071e-03
94,2.0696227551e+00,9.6177105228e-04,3.1589114381e-01,2.0183945292e-04,-3.7033252108e-03,3.5677899877e-04,2.0683310032e+00,2.0698997974e+00,2.0706374645e+00,-3.2343119383e-03,-3.7767207250e-03,-4.0989429690e-03
95,2.0692632198e+00,9.5826340259e-04,3.1581569187e-01,2.0113774210e-04,-3.7089507872e-03,3.5695804625e-04,2.0679786205e+00,2.0695316792e+00,2.0702793598e+00,-3.2395694871e-03,-3.7827393971e-03,-4.1045434773e-03
