label,alpha,mean_cosine_similarity,std_cosine_similarity,source_file
4000_100_alpha0-5,2.2,0.23112103641033171,0.012575379679791667,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,2.4000000000000004,0.2956146657466888,0.026279034777254212,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,2.6,0.4176861226558685,0.028166466198695173,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,2.8000000000000003,0.8163686692714691,0.22630826206539878,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,3.0,0.9998085498809814,4.382785908362231e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,3.2,0.9998970746994018,1.67801631495946e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,3.4000000000000004,0.9999350786209107,2.2385968388186457e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,3.6,0.9999412655830383,2.4496276272203494e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,3.8000000000000003,0.999954354763031,1.7775380269850807e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,4.0,0.999962842464447,2.0732137171936707e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,4.2,0.9999699711799621,7.856968428270379e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,4.4,0.999974250793457,7.162484591388608e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
