ratio,lambda,m_w,m_x,m_y
r=3,20.0,0.730244120464012,0.19073236138814686,0.1392811854859114
r=3,30.0,0.7319516038511451,0.1958548115497766,0.14335624343582276
r=3,60.0,0.7329865620451708,0.19895968613187465,0.14583477632338904
r=3,80.0,0.7331381636705492,0.19941449100792777,0.1461983737468494
r=3,100.0,0.7332083918675133,0.19962517559887394,0.14636685397712032
r=3,150.0,0.7332777893423916,0.19983336802356172,0.1465333703411619
r=3,200.0,0.733302086989966,0.19990626096630315,0.14659167836895087
r=3,400.0,0.7333255210576041,0.19997656316923437,0.14664791738538768
r=3,600.0,0.7333298611517274,0.19998958345160728,0.14665833346435897
r=3,1000.0,0.7333320833346009,0.1999962500002296,0.14666366667177605
r=4,0.5,3.825650912033224e-12,1.580649207199374e-70,6.047012081126877e-82
r=4,1.0,0.4999999999993053,2.8149030824601275e-16,1.407451541228108e-16
r=4,2.0,0.6875000000009378,3.868815222880463e-12,2.6598104657339466e-12
r=4,3.0,0.7222222222239671,8.32630100989818e-12,6.013439618274325e-12
r=4,5.0,0.7400000000048456,2.4830835070654353e-11,1.837481795240454e-11
r=4,10.0,0.7475000706946319,3.7328820171103245e-07,2.790329571684688e-07
r=4,20.0,0.7494546334576981,0.00042354636002892623,0.00031742878200782115
r=4,30.0,0.7499665327679965,0.0013005538877061801,0.0009753718898409422
r=4,60.0,0.75037478394447,0.0023652934262156002,0.0017748565436618061
r=4,80.0,0.7504428576821582,0.00256599553368442,0.001925633021097791
r=4,100.0,0.7504751677835912,0.0026631546176351744,0.0019986314085034033
r=4,150.0,0.7505075842048324,0.0027617998656262314,0.0020727517452083736
r=4,200.0,0.7505190494387579,0.002796960797185945,0.002099172358821466
r=4,400.0,0.7505301641637865,0.002831179353839589,0.00212488550521435
r=4,600.0,0.7505322288123676,0.002837549956109844,0.002129672692925557
r=4,1000.0,0.750533286683392,0.002840815801524032,0.0021321268203799465
r=5,0.5,2.3935912672512426e-11,0.0,0.0
r=5,1.0,0.5833333333326837,3.3178836562528134e-14,1.9354321328119855e-14
r=5,2.0,0.7395833333340037,2.9865779224126614e-12,2.2088232551196996e-12
r=5,3.0,0.7685185185196924,6.034966445177229e-12,4.637983471763659e-12
r=5,5.0,0.7833333333353506,1.1146915131236086e-11,8.73175018615742e-12
r=5,10.0,0.7895833333365689,1.8436521521584317e-11,1.4557170118143936e-11
r=5,20.0,0.7911458333371243,2.1766722973414853e-11,1.722065218582062e-11
r=5,30.0,0.7914351851891569,2.2837926607812903e-11,1.807473867419078e-11
r=5,60.0,0.7916087963003577,2.337403678775512e-11,1.8503093126235112e-11
r=5,80.0,0.7916341145874658,2.37859058034331e-11,1.8829734480361627e-11
r=5,100.0,0.7916458333374089,2.3459642424123197e-11,1.857172817664264e-11
r=5,150.0,0.791657407411426,2.3132712833680992e-11,1.8313183468304916e-11
r=5,200.0,0.7916614583373898,2.3351446399265916e-11,1.8486440110730244e-11
r=5,400.0,0.7916653645874268,2.356433031359396e-11,1.8655064148969914e-11
r=5,600.0,0.7916660879670632,2.3603966113277635e-11,1.868645951340563e-11
r=5,1000.0,0.791666458337437,2.362428548955545e-11,1.8702554424268867e-11
