alpha,cosine_similarity_mean,cosine_similarity_std,Loss_mean,Loss_std,Steps_mean,cosine_similarity_replica_0,loss_replica_0,cosine_similarity_replica_1,loss_replica_1,cosine_similarity_replica_2,loss_replica_2,cosine_similarity_replica_3,loss_replica_3,cosine_similarity_replica_4,loss_replica_4,cosine_similarity_replica_5,loss_replica_5,cosine_similarity_replica_6,loss_replica_6,cosine_similarity_replica_7,loss_replica_7,cosine_similarity_replica_8,loss_replica_8,cosine_similarity_replica_9,loss_replica_9
2.0,0.3213194638490677,0.0029440774410344874,8.706611347198486,0.055596527463431154,6000.0,0.32379671931266785,8.619222640991211,0.3179151117801666,8.745423316955566,0.31884416937828064,8.743523597717285,0.3219957947731018,8.662277221679688,0.32333022356033325,8.700531005859375,0.31761279702186584,8.787154197692871,0.3209002912044525,8.738072395324707,0.3275632858276367,8.658159255981445,0.3221077024936676,8.771357536315918,0.31912854313850403,8.640392303466797
2.2,0.3710752695798874,0.0030618265661734073,10.666862487792969,0.07862039442901646,6000.0,0.3695615231990814,10.709242820739746,0.36534202098846436,10.815875053405762,0.37253233790397644,10.662786483764648,0.37240102887153625,10.606146812438965,0.37497708201408386,10.565192222595215,0.3723987340927124,10.652445793151855,0.3673286736011505,10.79709243774414,0.37532201409339905,10.620319366455078,0.3720039129257202,10.61999797821045,0.3688853681087494,10.619525909423828
2.4000000000000004,0.4253823637962341,0.003694096751205053,12.343157100677491,0.07149972260937922,6000.0,0.4236595630645752,12.40037727355957,0.42212826013565063,12.440033912658691,0.4277498424053192,12.300856590270996,0.42620372772216797,12.308052062988281,0.4293994605541229,12.314362525939941,0.4267062544822693,12.321215629577637,0.42059803009033203,12.448565483093262,0.4325251877307892,12.209603309631348,0.4243443012237549,12.293356895446777,0.42050901055336,12.395147323608398
2.6,0.4843310058116913,0.002975260674791495,13.63335828781128,0.06532935045640186,6000.0,0.48170822858810425,13.69034481048584,0.4843638837337494,13.564340591430664,0.48757070302963257,13.564797401428223,0.48475536704063416,13.653605461120605,0.48584115505218506,13.627345085144043,0.4849902391433716,13.69627857208252,0.47886958718299866,13.745238304138184,0.4899660646915436,13.519390106201172,0.4832671284675598,13.640677452087402,0.4819777011871338,13.63156509399414
2.8000000000000003,0.5438078224658967,0.00425319698459581,14.530733203887939,0.11371380876346582,6000.0,0.5420643091201782,14.56568431854248,0.5429819226264954,14.52218246459961,0.5476675629615784,14.373739242553711,0.546028733253479,14.455780982971191,0.5449156761169434,14.612892150878906,0.5452603101730347,14.587031364440918,0.5341672897338867,14.775533676147461,0.5509510636329651,14.384777069091797,0.543372392654419,14.459653854370117,0.5406689643859863,14.570056915283203
3.0,0.6048187971115112,0.0036467315693678756,14.928250217437744,0.11051342596096889,6000.0,0.6048543453216553,14.935676574707031,0.6041093468666077,14.915396690368652,0.6067397594451904,14.874897003173828,0.6041974425315857,14.863690376281738,0.6072720885276794,14.873318672180176,0.6076940298080444,14.831145286560059,0.5965908765792847,15.201194763183594,0.6101906895637512,14.830755233764648,0.6057960391044617,14.896196365356445,0.6007433533668518,15.06023120880127
3.2,0.6616404533386231,0.003490629112870567,14.95012149810791,0.1277264107453707,6000.0,0.6596223711967468,15.046610832214355,0.6614652276039124,14.955862045288086,0.6631404161453247,14.92435359954834,0.6618279218673706,14.93576717376709,0.6649886965751648,14.793156623840332,0.6631377339363098,14.993237495422363,0.6557453274726868,15.133933067321777,0.6678621768951416,14.715428352355957,0.662278413772583,14.874356269836426,0.65633624792099,15.128509521484375
3.4000000000000004,0.7119064867496491,0.0024278960653791497,14.680906009674072,0.12405001285596073,6000.0,0.710852861404419,14.699708938598633,0.7110894322395325,14.723329544067383,0.7124857306480408,14.68443489074707,0.7110586762428284,14.733766555786133,0.7155575156211853,14.447733879089355,0.7128059267997742,14.746719360351562,0.7081479430198669,14.849723815917969,0.7166131734848022,14.459793090820312,0.7103904485702515,14.670170783996582,0.7100631594657898,14.793679237365723
3.6,0.7540177583694458,0.0020946647256298405,14.253722095489502,0.12107790494653246,6000.0,0.7541815042495728,14.255766868591309,0.7555688619613647,14.15614128112793,0.7555539608001709,14.210434913635254,0.7535769939422607,14.259149551391602,0.7567935585975647,14.053434371948242,0.7550181150436401,14.23448657989502,0.7504609823226929,14.441505432128906,0.7560235857963562,14.148488998413086,0.7521447539329529,14.312102317810059,0.7508552670478821,14.465710639953613
3.8000000000000003,0.7891085624694825,0.0018998034163448154,13.723493289947509,0.12309874744368358,6000.0,0.790545642375946,13.646722793579102,0.7904394865036011,13.655230522155762,0.7893670201301575,13.69565486907959,0.7899566888809204,13.672014236450195,0.790960967540741,13.613388061523438,0.7888798117637634,13.754029273986816,0.7860930562019348,13.909923553466797,0.7914778590202332,13.58113956451416,0.7875509262084961,13.719776153564453,0.7858141660690308,13.987053871154785
