step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
44,3.6761481315e+03,0.0000000000e+00,3.5653930031e+00,0.0000000000e+00,3.6761492491e+03,0.0000000000e+00,3.5653931351e+00,0.0000000000e+00,9.9182850122e-01,0.0000000000e+00,3.6761481315e+03,3.6761492491e+03,9.9182850122e-01
45,4.6106938273e+03,0.0000000000e+00,3.6637662839e+00,0.0000000000e+00,4.6106956899e+03,0.0000000000e+00,3.6637664593e+00,0.0000000000e+00,9.8981899023e-01,0.0000000000e+00,4.6106938273e+03,4.6106956899e+03,9.8981899023e-01
46,5.7404395193e+03,0.0000000000e+00,3.7589451456e+00,0.0000000000e+00,5.7404413819e+03,0.0000000000e+00,3.7589452865e+00,0.0000000000e+00,9.8737645149e-01,0.0000000000e+00,5.7404395193e+03,5.7404413819e+03,9.8737645149e-01
47,7.0914328098e+03,0.0000000000e+00,3.8507339924e+00,0.0000000000e+00,7.0914357901e+03,0.0000000000e+00,3.8507341749e+00,0.0000000000e+00,9.8443406820e-01,0.0000000000e+00,7.0914328098e+03,7.0914357901e+03,9.8443406820e-01
48,8.6889885366e+03,0.0000000000e+00,3.9389692243e+00,0.0000000000e+00,8.6889915168e+03,0.0000000000e+00,3.9389693732e+00,0.0000000000e+00,9.8092341423e-01,0.0000000000e+00,8.6889885366e+03,8.6889915168e+03,9.8092341423e-01
49,1.0556293279e+04,0.0000000000e+00,4.0235114474e+00,0.0000000000e+00,1.0556296259e+04,0.0000000000e+00,4.0235115701e+00,0.0000000000e+00,9.7677600384e-01,0.0000000000e+00,1.0556293279e+04,1.0556296259e+04,9.7677600384e-01
50,1.2713094056e+04,0.0000000000e+00,4.1042512601e+00,0.0000000000e+00,1.2713097036e+04,0.0000000000e+00,4.1042513619e+00,0.0000000000e+00,9.7192639112e-01,0.0000000000e+00,1.2713094056e+04,1.2713097036e+04,9.7192639112e-01
51,1.5174129605e+04,0.0000000000e+00,4.1811037891e+00,0.0000000000e+00,1.5174132586e+04,0.0000000000e+00,4.1811038744e+00,0.0000000000e+00,9.6631538868e-01,0.0000000000e+00,1.5174129605e+04,1.5174132586e+04,9.6631538868e-01
52,1.7947880924e+04,0.0000000000e+00,4.2540131795e+00,0.0000000000e+00,1.7947886884e+04,0.0000000000e+00,4.2540133237e+00,0.0000000000e+00,9.5989233255e-01,0.0000000000e+00,1.7947880924e+04,1.7947886884e+04,9.5989233255e-01
53,2.1035335958e+04,0.0000000000e+00,4.3229494526e+00,0.0000000000e+00,2.1035340428e+04,0.0000000000e+00,4.3229495449e+00,0.0000000000e+00,9.5261973143e-01,0.0000000000e+00,2.1035335958e+04,2.1035340428e+04,9.5261973143e-01
54,2.4429339170e+04,0.0000000000e+00,4.3879117192e+00,0.0000000000e+00,2.4429343641e+04,0.0000000000e+00,4.3879117987e+00,0.0000000000e+00,9.4447487593e-01,0.0000000000e+00,2.4429339170e+04,2.4429343641e+04,9.4447487593e-01
55,2.8114309907e+04,0.0000000000e+00,4.4489274278e+00,0.0000000000e+00,2.8114312887e+04,0.0000000000e+00,4.4489274738e+00,0.0000000000e+00,9.3545293808e-01,0.0000000000e+00,2.8114309907e+04,2.8114312887e+04,9.3545293808e-01
56,3.2066604495e+04,0.0000000000e+00,4.5060529753e+00,0.0000000000e+00,3.2066610456e+04,0.0000000000e+00,4.5060530560e+00,0.0000000000e+00,9.2556786537e-01,0.0000000000e+00,3.2066604495e+04,3.2066610456e+04,9.2556786537e-01
