step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
19,1.9153058529e+00,0.0000000000e+00,2.8223813581e-01,0.0000000000e+00,7.0086023770e-03,0.0000000000e+00,1.9153058529e+00,7.0086023770e-03
20,1.9107241631e+00,0.0000000000e+00,2.8119799574e-01,0.0000000000e+00,7.3848227039e-03,0.0000000000e+00,1.9107241631e+00,7.3848227039e-03
21,1.9061404467e+00,0.0000000000e+00,2.8015489681e-01,0.0000000000e+00,7.7630286105e-03,0.0000000000e+00,1.9061404467e+00,7.7630286105e-03
22,1.9015545845e+00,0.0000000000e+00,2.7910879644e-01,0.0000000000e+00,8.1431930885e-03,0.0000000000e+00,1.9015545845e+00,8.1431930885e-03
23,1.8969666958e+00,0.0000000000e+00,2.7805970624e-01,0.0000000000e+00,8.5252868012e-03,0.0000000000e+00,1.8969666958e+00,8.5252868012e-03
24,1.8923768997e+00,0.0000000000e+00,2.7700763797e-01,0.0000000000e+00,8.9092887938e-03,0.0000000000e+00,1.8923768997e+00,8.9092887938e-03
25,1.8877849579e+00,0.0000000000e+00,2.7595252125e-01,0.0000000000e+00,9.2952512205e-03,0.0000000000e+00,1.8877849579e+00,9.2952512205e-03
26,1.8831914663e+00,0.0000000000e+00,2.7489447750e-01,0.0000000000e+00,9.6831573173e-03,0.0000000000e+00,1.8831914663e+00,9.6831573173e-03
27,1.8785963058e+00,0.0000000000e+00,2.7383346399e-01,0.0000000000e+00,1.0073111393e-02,0.0000000000e+00,1.8785963058e+00,1.0073111393e-02
28,1.8740001917e+00,0.0000000000e+00,2.7276963098e-01,0.0000000000e+00,1.0465133004e-02,0.0000000000e+00,1.8740001917e+00,1.0465133004e-02
29,1.8694022894e+00,0.0000000000e+00,2.7170277022e-01,0.0000000000e+00,1.0859152302e-02,0.0000000000e+00,1.8694022894e+00,1.0859152302e-02
30,1.8648029566e+00,0.0000000000e+00,2.7063294907e-01,0.0000000000e+00,1.1255091988e-02,0.0000000000e+00,1.8648029566e+00,1.1255091988e-02
31,1.8602025509e+00,0.0000000000e+00,2.6956023559e-01,0.0000000000e+00,1.1653013527e-02,0.0000000000e+00,1.8602025509e+00,1.1653013527e-02
32,1.8556008339e+00,0.0000000000e+00,2.6848455902e-01,0.0000000000e+00,1.2052993290e-02,0.0000000000e+00,1.8556008339e+00,1.2052993290e-02
33,1.8509989977e+00,0.0000000000e+00,2.6740618358e-01,0.0000000000e+00,1.2454813346e-02,0.0000000000e+00,1.8509989977e+00,1.2454813346e-02
34,1.8463962078e+00,0.0000000000e+00,2.6632489951e-01,0.0000000000e+00,1.2858546339e-02,0.0000000000e+00,1.8463962078e+00,1.2858546339e-02
35,1.8417937756e+00,0.0000000000e+00,2.6524100091e-01,0.0000000000e+00,1.3264273293e-02,0.0000000000e+00,1.8417937756e+00,1.3264273293e-02
36,1.8371908665e+00,0.0000000000e+00,2.6415427767e-01,0.0000000000e+00,1.3672024012e-02,0.0000000000e+00,1.8371908665e+00,1.3672024012e-02
37,1.8325879574e+00,0.0000000000e+00,2.6306482833e-01,0.0000000000e+00,1.4081860892e-02,0.0000000000e+00,1.8325879574e+00,1.4081860892e-02
38,1.8279850483e+00,0.0000000000e+00,2.6197263917e-01,0.0000000000e+00,1.4493598603e-02,0.0000000000e+00,1.8279850483e+00,1.4493598603e-02
