step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
200,7.4420166016e+02,3.1270584995e+02,2.8364503404e+00,1.7037607909e-01,6.2016804392e-03,2.6058821492e-03,9.8712384701e-01,4.1626471181e-03,5.7285009766e+02,1.1829445801e+03,4.7681030273e+02,4.7737504356e-03,9.8578715697e-03,3.9734193124e-03,9.8962718248e-01,9.8125791550e-01,9.9048644304e-01
205,6.6478936768e+02,2.8742437710e+02,2.7851628164e+00,1.7606546951e-01,5.5399116439e-03,2.3952032868e-03,9.8833896716e-01,3.8999955736e-03,5.1324108887e+02,1.0672039795e+03,4.1392303467e+02,4.2770095170e-03,8.8933669031e-03,3.4493585117e-03,9.9055421352e-01,9.8285704851e-01,9.9160563946e-01
210,5.9305541992e+02,2.6247129817e+02,2.7336582998e+00,1.8063259394e-01,4.9421285124e-03,2.1872609600e-03,9.8942061265e-01,3.6732103476e-03,4.5694549561e+02,9.6017950439e+02,3.6204125977e+02,3.8078790531e-03,8.0014960840e-03,3.0170104001e-03,9.9143975973e-01,9.8426604271e-01,9.9255603552e-01
215,5.2381390381e+02,2.3055591334e+02,2.6799332978e+00,1.8054953270e-01,4.3651159698e-03,1.9212994259e-03,9.9052315950e-01,3.2819822124e-03,4.0906338501e+02,8.4549633789e+02,3.1688198853e+02,3.4088615794e-03,7.0458031259e-03,2.6406832039e-03,9.9225777388e-01,9.8592752218e-01,9.9338418245e-01
220,4.6225035604e+02,2.0079401022e+02,2.6264974313e+00,1.7880758156e-01,3.8520861417e-03,1.6732832697e-03,9.9147977432e-01,2.9663471243e-03,3.6526119995e+02,7.4187731934e+02,2.7961254883e+02,3.0438432004e-03,6.1823106371e-03,2.3301045876e-03,9.9299848080e-01,9.8733383417e-01,9.9410700798e-01
225,4.0517031860e+02,1.7174725874e+02,2.5709709470e+00,1.7499053220e-01,3.3764192679e-03,1.4312271712e-03,9.9239301682e-01,2.6355167077e-03,3.2449975586e+02,6.4391143799e+02,2.4709976196e+02,2.7041644789e-03,5.3659286350e-03,2.0591646899e-03,9.9370402098e-01,9.8871594667e-01,9.9475908279e-01
230,3.5812605794e+02,1.4761758144e+02,2.5192769017e+00,1.7055251122e-01,2.9843838420e-03,1.2301465207e-03,9.9316984415e-01,2.3777585276e-03,2.9047979736e+02,5.6298840332e+02,2.2090997314e+02,2.4206649978e-03,4.6915700659e-03,1.8409164622e-03,9.9433630705e-01,9.8985528946e-01,9.9531793594e-01
235,3.1607447306e+02,1.2555489113e+02,2.4673130641e+00,1.6520685225e-01,2.6339539715e-03,1.0462907117e-03,9.9388291438e-01,2.1003686104e-03,2.6146954346e+02,4.8969772339e+02,1.9705615234e+02,2.1789129823e-03,4.0808143094e-03,1.6421346227e-03,9.9486839771e-01,9.9096345901e-01,9.9581688643e-01
240,2.7997377523e+02,1.0648087334e+02,2.4172807042e+00,1.5850087882e-01,2.3331147774e-03,8.8734054609e-04,9.9454108874e-01,1.8179563071e-03,2.3497964478e+02,4.2692529297e+02,1.7801638794e+02,1.9581636880e-03,3.5577106755e-03,1.4834699687e-03,9.9536883831e-01,9.9201923609e-01,9.9623519182e-01
245,2.4877051290e+02,9.0737946853e+01,2.3682761402e+00,1.5239846149e-01,2.0730876519e-03,7.5614963099e-04,9.9511067073e-01,1.5871637540e-03,2.1171836853e+02,3.7369403076e+02,1.6089913940e+02,1.7643197207e-03,3.1141170766e-03,1.3408261584e-03,9.9580228329e-01,9.9291557074e-01,9.9661415815e-01
