step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
70,4.9353289604e+06,7.8392028809e+02,6.6933161000e+00,6.8982688076e-05,8.2677699625e-02,2.8365105391e-04,4.9345450401e+06,4.9361128807e+06,8.2961350679e-02,8.2394048572e-02
71,4.8658170104e+06,1.0065436363e+03,6.6871557630e+00,8.9838222923e-05,8.9256659150e-02,3.2860040665e-04,4.8648104668e+06,4.8668235540e+06,8.9585259557e-02,8.8928058743e-02
72,4.7919845581e+06,1.2395381927e+03,6.6805153954e+00,1.1233855258e-04,9.6440214664e-02,3.7767365575e-04,4.7907450199e+06,4.7932240963e+06,9.6817888319e-02,9.6062541008e-02
73,4.7134914994e+06,1.4843344688e+03,6.6733427067e+00,1.3676449624e-04,1.0430849344e-01,4.3143332005e-04,4.7120071650e+06,4.7149758339e+06,1.0473992676e-01,1.0387706012e-01
74,4.6299558878e+06,1.7420053482e+03,6.6655768225e+00,1.6340184749e-04,1.1295697466e-01,4.9057230353e-04,4.6282138824e+06,4.6316978931e+06,1.1344754696e-01,1.1246640235e-01
75,4.5409476757e+06,2.0116567612e+03,6.6571464550e+00,1.9239408828e-04,1.2250032648e-01,5.5581703782e-04,4.5389360189e+06,4.5429593325e+06,1.2305614352e-01,1.2194450945e-01
76,4.4459787011e+06,2.2957921028e+03,6.6479673199e+00,2.2425881847e-04,1.3307761401e-01,6.2813609838e-04,4.4436829090e+06,4.4482744932e+06,1.3370575011e-01,1.3244947791e-01
77,4.3444910645e+06,2.5929808617e+03,6.6379388310e+00,2.5920583030e-04,1.4485905319e-01,7.0864707232e-04,4.3418980837e+06,4.3470840454e+06,1.4556770027e-01,1.4415040612e-01
78,4.2358472943e+06,2.9012560844e+03,6.6269401932e+00,2.9746107863e-04,1.5805461258e-01,7.9851597548e-04,4.2329460382e+06,4.2387485504e+06,1.5885312855e-01,1.5725609660e-01
79,4.1193138957e+06,3.2177567482e+03,6.6148247544e+00,3.3924442746e-04,1.7292708158e-01,8.9910626411e-04,4.1160961390e+06,4.1225316525e+06,1.7382618785e-01,1.7202797532e-01
80,3.9940402508e+06,3.5365819931e+03,6.6014122670e+00,3.8455257067e-04,1.8980901688e-01,1.0120049119e-03,3.9905036688e+06,3.9975768328e+06,1.9082102180e-01,1.8879701197e-01
81,3.8590473533e+06,3.8507580757e+03,6.5864798915e+00,4.3336175626e-04,2.0912723243e-01,1.1392086744e-03,3.8551965952e+06,3.8628981113e+06,2.1026644111e-01,2.0798802376e-01
82,3.7132278085e+06,4.1390061378e+03,6.5697513244e+00,4.8409318346e-04,2.3143639416e-01,1.2820735574e-03,3.7090888023e+06,3.7173668146e+06,2.3271846771e-01,2.3015432060e-01
83,3.5553751588e+06,4.3643116951e+03,6.5508851065e+00,5.3310757764e-04,2.5746895373e-01,1.4408975840e-03,3.5510108471e+06,3.5597394705e+06,2.5890985131e-01,2.5602805614e-01
84,3.3843505383e+06,4.4571161270e+03,6.5294749627e+00,5.7195672741e-04,2.8820373118e-01,1.6139596701e-03,3.3798934221e+06,3.3888076544e+06,2.8981769085e-01,2.8658977151e-01
85,3.1996294856e+06,4.2863488197e+03,6.5050993006e+00,5.8179822442e-04,3.2494743168e-01,1.7945617437e-03,3.1953431368e+06,3.2039158344e+06,3.2674199343e-01,3.2315286994e-01
86,3.0029911101e+06,3.5556256771e+03,6.4775537421e+00,5.1421708433e-04,3.6939451098e-01,1.9591152668e-03,2.9994354844e+06,3.0065467358e+06,3.7135362625e-01,3.6743539572e-01
87,2.8036523759e+06,1.6188919544e+03,6.4477240922e+00,2.5077143186e-04,4.2350389063e-01,2.0504742861e-03,2.8020334840e+06,2.8052712679e+06,4.2555436492e-01,4.2145341635e-01
88,2.6342525482e+06,3.0117630959e+03,6.4206571250e+00,4.9653275049e-04,4.8868386447e-01,1.9410997629e-03,2.6372643113e+06,2.6312407851e+06,4.9062496424e-01,4.8674276471e-01
89,2.6028115153e+06,1.3721466064e+04,6.4154366845e+00,2.2895289061e-03,5.6282061338e-01,1.3898611069e-03,2.6165329814e+06,2.5890900493e+06,5.6421047449e-01,5.6143075228e-01
90,3.0599650741e+06,3.5809099674e+04,6.4856867298e+00,5.0825430990e-03,6.3118791580e-01,1.4817714691e-04,3.0957741737e+06,3.0241559744e+06,6.3133609295e-01,6.3103973866e-01
91,4.8626963496e+06,5.3705513477e+04,6.6868506620e+00,4.7967125410e-03,6.3656136394e-01,1.2375414371e-03,4.9164018631e+06,4.8089908361e+06,6.3532382250e-01,6.3779890537e-01
92,4.9308307171e+06,8.7093114853e+03,6.6929194153e+00,7.6709383666e-04,3.3682765067e-01,1.9004791975e-03,4.9395400286e+06,4.9221214056e+06,3.3872812986e-01,3.3492717147e-01
93,3.1641331315e+06,1.1159956455e+04,6.5002520469e+00,1.5317710738e-03,4.1436971724e-01,3.4831464291e-04,3.1752930880e+06,3.1529731750e+06,4.1471803188e-01,4.1402140260e-01
94,3.7477451563e+06,3.1049609184e+04,6.5737551462e+00,3.5981588689e-03,6.4318153262e-01,1.0285079479e-03,3.7787947655e+06,3.7166955471e+06,6.4215302467e-01,6.4421004057e-01
95,5.2990515232e+06,2.7598500252e+04,6.7241922520e+00,2.2619113422e-03,5.1831081510e-01,1.7108619213e-03,5.3266500235e+06,5.2714530230e+06,5.2002167702e-01,5.1659995317e-01
96,4.5766512752e+06,3.8919389248e+04,6.6605321181e+00,3.6932862988e-03,2.6084707677e-01,5.8633834124e-03,4.6155706644e+06,4.5377318859e+06,2.6671046019e-01,2.5498369336e-01
97,3.9463838339e+06,3.3106327057e+04,6.5961840409e+00,3.6433943229e-03,4.7956135869e-01,5.3223669529e-03,3.9794901609e+06,3.9132775068e+06,4.7423899174e-01,4.8488372564e-01
98,4.2572844028e+06,5.2764415741e+03,6.6291323301e+00,5.3826111112e-04,5.4459798336e-01,7.5167417526e-04,4.2625608444e+06,4.2520079613e+06,5.4534965754e-01,5.4384630919e-01
99,5.7003997564e+06,2.5537133217e+04,6.7559009548e+00,1.9456021873e-03,4.3796442449e-01,6.2831789255e-03,5.7259368896e+06,5.6748626232e+06,4.4424760342e-01,4.3168124557e-01
100,5.1830694079e+06,7.4019491673e+04,6.7145427335e+00,6.2025876764e-03,2.8544202447e-01,5.5573284626e-03,5.2570888996e+06,5.1090499163e+06,2.9099935293e-01,2.7988469601e-01
101,4.4025624990e+06,4.8225402832e+04,6.6436794732e+00,4.7574257231e-03,3.8520970941e-01,9.2209875584e-03,4.4507879019e+06,4.3543370962e+06,3.7598872185e-01,3.9443069696e-01
