step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
68,1.9916507006e+00,4.2783493610e-03,2.9921217087e-01,9.3326401007e-04,3.6144564244e-04,7.7670155643e-04,1.9926402569e+00,1.9859865904e+00,1.9963252544e+00,5.9304529714e-05,1.4270822285e-03,-4.0204983088e-04
69,1.9916543563e+00,4.2735098952e-03,2.9921297031e-01,9.3220545547e-04,3.6379699668e-04,7.7992787630e-04,1.9926402569e+00,1.9859975576e+00,1.9963252544e+00,5.9304609749e-05,1.4341360657e-03,-4.0204968536e-04
70,1.9916550318e+00,4.2726157309e-03,2.9921311803e-01,9.3200987214e-04,3.6613514627e-04,7.8313683054e-04,1.9926402569e+00,1.9859995842e+00,1.9963252544e+00,5.9304686147e-05,1.4411502052e-03,-4.0204945253e-04
71,1.9916524490e+00,4.2760347373e-03,2.9921255321e-01,9.3275772301e-04,3.6845294744e-04,7.8631830761e-04,1.9926402569e+00,1.9859918356e+00,1.9963252544e+00,5.9305155446e-05,1.4481027611e-03,-4.0204907418e-04
72,1.9916463693e+00,4.2840222404e-03,2.9921122374e-01,9.3450486671e-04,3.7074207406e-04,7.8946142852e-04,1.9926401377e+00,1.9859737158e+00,1.9963252544e+00,5.9305486502e-05,1.4549696352e-03,-4.0204889956e-04
73,1.9916365147e+00,4.2971358830e-03,2.9920906867e-01,9.3737331018e-04,3.7299425579e-04,7.9255414106e-04,1.9926402569e+00,1.9859440327e+00,1.9963252544e+00,5.9306014009e-05,1.4617250999e-03,-4.0204834659e-04
74,1.9916224082e+00,4.3158285424e-03,2.9920598379e-01,9.4146216311e-04,3.7519963856e-04,7.9558346863e-04,1.9926402569e+00,1.9859017134e+00,1.9963252544e+00,5.9306134062e-05,1.4683405170e-03,-4.0204773541e-04
75,1.9916038116e+00,4.3404883583e-03,2.9920191685e-01,9.4685640661e-04,3.7734786019e-04,7.9853515352e-04,1.9926402569e+00,1.9858459234e+00,1.9963252544e+00,5.9306483308e-05,1.4747846872e-03,-4.0204758989e-04
76,1.9915805260e+00,4.3713927738e-03,2.9919682433e-01,9.5361683894e-04,3.7942815228e-04,8.0139381574e-04,1.9926402569e+00,1.9857760668e+00,1.9963252544e+00,5.9306974435e-05,1.4810246648e-03,-4.0204718243e-04
77,1.9915522734e+00,4.4089288214e-03,2.9919064528e-01,9.6182826800e-04,3.8142877869e-04,8.0414398040e-04,1.9926402569e+00,1.9856913090e+00,1.9963252544e+00,5.9307381889e-05,1.4870262239e-03,-4.0204726974e-04
78,1.9915188154e+00,4.4534352361e-03,2.9918332741e-01,9.7156497953e-04,3.8333808819e-04,8.0676825973e-04,1.9926402569e+00,1.9855909348e+00,1.9963252544e+00,5.9307967604e-05,1.4927526936e-03,-4.0204639663e-04
79,1.9914801518e+00,4.5049373928e-03,2.9917487056e-01,9.8283274748e-04,3.8514262754e-04,8.0924954702e-04,1.9926402569e+00,1.9854749441e+00,1.9963252544e+00,5.9308476921e-05,1.4981656568e-03,-4.0204625111e-04
