step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
53,1.2766052882e+05,1.2297445737e+02,5.1060564377e+00,4.1823567890e-04,2.8270392617e-01,2.1964416228e-03,1.2783092260e+05,1.2760547400e+05,1.2754518986e+05,2.8552576900e-01,2.8016853333e-01,2.8241747618e-01
54,1.3999262253e+05,1.2640963944e+02,5.1461049724e+00,3.9206185141e-04,3.0399503311e-01,2.3082243586e-03,1.4016637802e+05,1.3986933231e+05,1.3994215727e+05,3.0695483088e-01,3.0132284760e-01,3.0370742083e-01
55,1.5379891793e+05,1.5280070165e+02,5.1869530656e+00,4.3148246344e-04,3.2570715745e-01,2.4051596015e-03,1.5398449898e+05,1.5361025333e+05,1.5380200148e+05,3.2878673077e-01,3.2291662693e-01,3.2541811466e-01
56,1.6882860263e+05,1.8902258757e+02,5.2274457536e+00,4.8633025617e-04,3.4773836533e-01,2.4859113924e-03,1.6903599501e+05,1.6857883930e+05,1.6887097359e+05,3.5091775656e-01,3.4484934807e-01,3.4744799137e-01
57,1.8489003579e+05,2.2755544347e+02,5.2669131775e+00,5.3464635108e-04,3.6998532216e-01,2.5496218251e-03,1.8513051271e+05,1.8458459377e+05,1.8495500088e+05,3.7324327230e-01,3.6701837182e-01,3.6969432235e-01
58,2.0184760094e+05,2.6583834293e+02,5.3050232152e+00,5.7211703671e-04,3.9234462380e-01,2.5960389255e-03,2.0213325024e+05,2.0149309635e+05,2.0191645622e+05,3.9565935731e-01,3.8932031393e-01,3.9205420017e-01
59,2.1961263816e+05,3.0380821420e+02,5.3416569134e+00,6.0090148169e-04,4.1471453508e-01,2.6251396752e-03,2.1995568275e+05,2.1921708584e+05,2.1966514587e+05,4.1806399822e-01,4.1165313125e-01,4.1442647576e-01
60,2.3813227018e+05,3.4245185769e+02,5.3768178031e+00,6.2457811137e-04,4.3699640036e-01,2.6373786505e-03,2.3854391575e+05,2.3770549297e+05,2.3814740181e+05,4.4035875797e-01,4.3391716480e-01,4.3671327829e-01
61,2.5737836361e+05,3.8348541777e+02,5.4105715534e+00,6.4700481740e-04,4.5909616351e-01,2.6336917221e-03,2.5786812305e+05,2.5693175793e+05,2.5733520985e+05,4.6245041490e-01,4.5601680875e-01,4.5882126689e-01
62,2.7733856837e+05,4.2809981810e+02,5.4430097522e+00,6.7017013764e-04,4.8092581828e-01,2.6150107657e-03,2.7791280746e+05,2.7688534260e+05,2.7721755505e+05,4.8425158858e-01,4.7786226869e-01,4.8066359758e-01
