step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
14,1.9984929562e+00,0.0000000000e+00,3.0070262190e-01,0.0000000000e+00,5.3010741249e-04,0.0000000000e+00,1.9984929562e+00,5.3010741249e-04
15,1.9980112314e+00,0.0000000000e+00,3.0059792520e-01,0.0000000000e+00,5.7091028430e-04,0.0000000000e+00,1.9980112314e+00,5.7091028430e-04
16,1.9794770479e+00,0.0000000000e+00,2.9655047046e-01,0.0000000000e+00,5.0292024389e-04,0.0000000000e+00,1.9794770479e+00,5.0292024389e-04
17,1.9836324453e+00,0.0000000000e+00,2.9746120323e-01,0.0000000000e+00,5.2958849119e-04,0.0000000000e+00,1.9836324453e+00,5.2958849119e-04
18,1.9786179066e+00,0.0000000000e+00,2.9636193514e-01,0.0000000000e+00,5.2897073328e-04,0.0000000000e+00,1.9786179066e+00,5.2897073328e-04
19,1.9807900190e+00,0.0000000000e+00,2.9683843899e-01,0.0000000000e+00,5.5472290842e-04,0.0000000000e+00,1.9807900190e+00,5.5472290842e-04
20,1.9826391935e+00,0.0000000000e+00,2.9724368722e-01,0.0000000000e+00,5.8231834555e-04,0.0000000000e+00,1.9826391935e+00,5.8231834555e-04
21,1.9841545820e+00,0.0000000000e+00,2.9757550426e-01,0.0000000000e+00,6.1174749862e-04,0.0000000000e+00,1.9841545820e+00,6.1174749862e-04
22,1.9853502512e+00,0.0000000000e+00,2.9783713515e-01,0.0000000000e+00,6.4305111300e-04,0.0000000000e+00,1.9853502512e+00,6.4305111300e-04
23,1.9862453938e+00,0.0000000000e+00,2.9803290306e-01,0.0000000000e+00,6.7623541690e-04,0.0000000000e+00,1.9862453938e+00,6.7623541690e-04
24,1.9868662357e+00,0.0000000000e+00,2.9816862955e-01,0.0000000000e+00,7.1149598807e-04,0.0000000000e+00,1.9868662357e+00,7.1149598807e-04
25,1.9872345924e+00,0.0000000000e+00,2.9824913847e-01,0.0000000000e+00,7.5011566514e-04,0.0000000000e+00,1.9872345924e+00,7.5011566514e-04
26,1.9873675108e+00,0.0000000000e+00,2.9827818576e-01,0.0000000000e+00,8.4070075536e-04,0.0000000000e+00,1.9873675108e+00,8.4070075536e-04
27,2.0375678539e+00,0.0000000000e+00,3.0911208028e-01,0.0000000000e+00,-3.9161971654e-04,0.0000000000e+00,2.0375678539e+00,-3.9161971654e-04
28,2.0425336361e+00,0.0000000000e+00,3.1016921715e-01,0.0000000000e+00,-2.6217641425e-04,0.0000000000e+00,2.0425336361e+00,-2.6217641425e-04
29,2.0431275368e+00,0.0000000000e+00,3.1029547715e-01,0.0000000000e+00,-2.4135698914e-04,0.0000000000e+00,2.0431275368e+00,-2.4135698914e-04
30,2.0436062813e+00,0.0000000000e+00,3.1039722887e-01,0.0000000000e+00,-2.1877711697e-04,0.0000000000e+00,2.0436062813e+00,-2.1877711697e-04
31,2.0439944267e+00,0.0000000000e+00,3.1047970729e-01,0.0000000000e+00,-1.8859418924e-04,0.0000000000e+00,2.0439944267e+00,-1.8859418924e-04
32,2.0441088676e+00,0.0000000000e+00,3.1050402226e-01,0.0000000000e+00,-4.2385683628e-05,0.0000000000e+00,2.0441088676e+00,-4.2385683628e-05
33,1.8582205772e+00,0.0000000000e+00,2.6909726498e-01,0.0000000000e+00,2.4651759304e-04,0.0000000000e+00,1.8582205772e+00,2.4651759304e-04
34,1.8715947866e+00,0.0000000000e+00,2.7221182679e-01,0.0000000000e+00,5.1923480351e-04,0.0000000000e+00,1.8715947866e+00,5.1923480351e-04
35,1.8717825413e+00,0.0000000000e+00,2.7225539215e-01,0.0000000000e+00,5.4049916798e-04,0.0000000000e+00,1.8717825413e+00,5.4049916798e-04
36,1.8718981743e+00,0.0000000000e+00,2.7228222071e-01,0.0000000000e+00,5.6364829652e-04,0.0000000000e+00,1.8718981743e+00,5.6364829652e-04
37,1.8718310595e+00,0.0000000000e+00,2.7226664929e-01,0.0000000000e+00,6.0092244530e-04,0.0000000000e+00,1.8718310595e+00,6.0092244530e-04
38,1.8859337568e+00,0.0000000000e+00,2.7552643413e-01,0.0000000000e+00,9.9187169690e-04,0.0000000000e+00,1.8859337568e+00,9.9187169690e-04
