lambda	t	m_w	m_x	m_y
0.5	28	1.387299009902473e-16	1.387299009902473e-16	1.9245985428763816e-32
0.5	29	4.439356831687914e-17	4.439356831687914e-17	1.9707889079054153e-33
0.5	30	1.4205941861401324e-17	1.4205941861401324e-17	2.018087841695145e-34
0.5	31	4.545901395648424e-18	4.545901395648424e-18	2.0665219498958288e-35
0.5	32	1.4546884466074957e-18	1.4546884466074957e-18	2.1161184766933287e-36
0.5	33	4.655003029143987e-19	4.655003029143987e-19	2.1669053201339695e-37
0.5	34	1.4896009693260763e-19	1.4896009693260763e-19	2.218911047817186e-38
0.5	35	4.7667231018434445e-20	4.7667231018434445e-20	2.272164912964799e-39
0.5	36	1.5253513925899024e-20	1.5253513925899024e-20	2.3266968708759548e-40
0.5	37	4.8811244562876875e-21	4.8811244562876875e-21	2.382537595776977e-41
0.5	38	1.56195982601206e-21	1.56195982601206e-21	2.439718498075625e-42
0.5	39	4.998271443238594e-22	4.998271443238594e-22	2.4982717420294418e-43
0.5	40	1.5994468618363502e-22	1.5994468618363502e-22	2.5582302638381486e-44
0.5	41	5.118229957876321e-23	5.118229957876321e-23	2.6196277901702646e-45
0.5	42	1.637833586520423e-23	1.637833586520423e-23	2.682498857134352e-46
0.5	43	5.241067476865355e-24	5.241067476865355e-24	2.746878829705578e-47
0.5	44	1.6771415925969135e-24	1.6771415925969135e-24	2.8128039216185114e-48
0.5	45	5.366853096310124e-25	5.366853096310124e-25	2.8803112157373562e-49
0.5	46	1.7173929908192394e-25	1.7173929908192394e-25	2.949438684915052e-50
0.5	47	5.495657570621567e-26	5.495657570621567e-26	3.0202252133530143e-51
0.5	48	1.7586104225989012e-26	1.7586104225989012e-26	3.092710618473486e-52
0.5	49	5.6275533523164844e-27	5.6275533523164844e-27	3.1669356733168504e-53
0.5	50	1.8008170727412757e-27	1.8008170727412757e-27	3.242942129476457e-54
0.5	51	5.762614632772082e-28	5.762614632772082e-28	3.320772740583892e-55
0.5	52	1.8440366824870662e-28	1.8440366824870662e-28	3.4004712863579047e-56
0.5	53	5.900917383958612e-29	5.900917383958612e-29	3.482082597230495e-57
0.5	54	1.8882935628667563e-29	1.8882935628667563e-29	3.565652579564029e-58
0.5	55	6.042539401173622e-30	6.042539401173622e-30	3.651228241473567e-59
0.5	56	1.9336126083755594e-30	1.9336126083755594e-30	3.7388577192689344e-60
0.5	57	6.187560346801791e-31	6.187560346801791e-31	3.82859030453139e-61
0.5	58	1.9800193109765733e-31	1.9800193109765733e-31	3.920476471840144e-62
0.5	59	6.336061795125034e-32	6.336061795125034e-32	4.0145679071643073e-63
0.5	60	2.0275397744400115e-32	2.0275397744400115e-32	4.110917536936253e-64
0.5	61	6.488127278208039e-33	6.488127278208039e-33	4.209579557822726e-65
0.5	62	2.0762007290265725e-33	2.0762007290265725e-33	4.310609467210471e-66
0.5	63	6.643842332885032e-34	6.643842332885032e-34	4.4140640944235225e-67
