lambda	t	m_w	m_x	m_y
3.	48	0.41119914050041023	0.41119914050041023	0.1690847331482761
3.	49	0.41121327524650664	0.41121327524650664	0.16909635773895923
3.	50	0.41122458552469787	0.41122458552469787	0.16910565973995956
3.	51	0.41123363569478927	0.41123363569478927	0.16911310312675465
3.	52	0.41124087736493475	0.41124087736493475	0.1691190592158813
3.	53	0.41124667191301617	0.41124667191301617	0.16912382515953198
3.	54	0.4112513085112991	0.4112513085112991	0.1691276387522557
3.	55	0.411255018551564	0.411255018551564	0.16913069028384725
3.	56	0.4112579871891307	0.4112579871891307	0.1691331320268552
3.	57	0.41126036258095366	0.41126036258095366	0.16913508583021747
3.	58	0.411262263278233	0.411262263278233	0.16913664919673466
3.	59	0.41126378414210424	0.41126378414210424	0.16913790014688332
3.	60	0.41126500107740294	0.41126500107740294	0.16913890111119623
3.	61	0.4112659748206035	0.4112659748206035	0.16913970204514128
3.	62	0.41126675397088336	0.41126675397088336	0.1691403429217471
3.	63	0.4112673774155277	0.4112673774155277	0.16914085572624613
3.	64	0.41126787627068423	0.41126787627068423	0.16914126605219884
3.	65	0.4112682754343044	0.4112682754343044	0.16914159437870685
3.	66	0.4112685948287619	0.4112685948287619	0.1691418570924243
3.	67	0.41126885039515687	0.41126885039515687	0.16914206730535392
3.	68	0.4112690548889246	0.4112690548889246	0.1691422355092293
3.	69	0.4112692185164544	0.4112692185164544	0.16914237009913513
3.	70	0.411269349444488	0.411269349444488	0.1691424777924924
3.	71	0.4112694542077217	0.4112694542077217	0.16914256396431732
3.	72	0.4112695380349542	0.4112695380349542	0.16914263291548465
3.	73	0.4112696051100571	0.4112696051100571	0.1691426880873823
3.	74	0.4112696587807938	0.4112696587807938	0.16914273223367057
3.	75	0.4112697017259075	0.4112697017259075	0.1691427675577169
3.	76	0.4112697360888187	0.4112697360888187	0.1691427958225666
3.	77	0.41126976358460465	0.41126976358460465	0.1691428184389366
3.	78	0.4112697855855996	0.4112697855855996	0.1691428365356251
3.	79	0.4112698031898891	0.4112698031898891	0.1691428510158501
3.	80	0.41126981727611595	0.41126981727611595	0.1691428626023298
3.	81	0.41126982854733396	0.41126982854733396	0.16914287187335347
3.	82	0.411269837566098	0.411269837566098	0.16914287929164462
3.	83	0.4112698447825412	0.4112698447825412	0.16914288522745552
3.	84	0.41126985055684145	0.41126985055684145	0.1691428899770467
3.	85	0.41126985517719855	0.41126985517719855	0.16914289377747388
3.	86	0.41126985887421774	0.41126985887421774	0.169142896818419
3.	87	0.41126986183242004	0.41126986183242004	0.16914289925165787
3.	88	0.41126986419945155	0.41126986419945155	0.16914290119863531
3.	89	0.4112698660934526	0.4112698660934526	0.16914290275652644
3.	90	0.4112698676089541	0.4112698676089541	0.16914290400308665
3.	91	0.41126986882159594	0.41126986882159594	0.16914290500053272
3.	92	0.41126986979190194	0.41126986979190194	0.169142905798648
3.	93	0.41126987056830067	0.41126987056830067	0.1691429064372668
3.	94	0.411269871189543	0.411269871189543	0.16914290694826328
3.	95	0.41126987168663554	0.41126987168663554	0.16914290735714166
3.	96	0.41126987208438853	0.41126987208438853	0.1691429076843093
3.	97	0.41126987240265384	0.41126987240265384	0.16914290794609516
3.	98	0.41126987265731674	0.41126987265731674	0.1691429081555655
3.	99	0.4112698728610875	0.4112698728610875	0.16914290832317508
3.	100	0.4112698730241364	0.4112698730241364	0.1691429084572893
3.	101	0.41126987315460156	0.41126987315460156	0.16914290856460207
3.	102	0.4112698732589944	0.4112698732589944	0.1691429086504693
3.	103	0.4112698733425251	0.4112698733425251	0.16914290871917667
3.	104	0.411269873409363	0.411269873409363	0.16914290877415347
3.	105	0.4112698734628439	0.4112698734628439	0.16914290881814362
3.	106	0.41126987350563704	0.41126987350563704	0.16914290885334268
3.	107	0.41126987353987843	0.41126987353987843	0.1691429088815076
3.	108	0.411269873567277	0.411269873567277	0.16914290890404401
3.	109	0.41126987358920025	0.41126987358920025	0.16914290892207676
3.	110	0.4112698736067423	0.4112698736067423	0.16914290893650577
3.	111	0.41126987362077866	0.41126987362077866	0.16914290894805126
3.	112	0.41126987363201006	0.41126987363201006	0.16914290895728953
3.	113	0.4112698736409969	0.4112698736409969	0.16914290896468154
3.	114	0.4112698736481878	0.4112698736481878	0.16914290897059636
3.	115	0.4112698736539417	0.4112698736539417	0.16914290897532916
3.	116	0.4112698736585457	0.4112698736585457	0.16914290897911616
3.	117	0.41126987366222956	0.41126987366222956	0.16914290898214626
3.	118	0.4112698736651773	0.4112698736651773	0.1691429089845709
3.	119	0.41126987366753587	0.41126987366753587	0.1691429089865109
3.	120	0.4112698736694232	0.4112698736694232	0.1691429089880633
3.	121	0.4112698736709334	0.4112698736709334	0.1691429089893055
3.	122	0.41126987367214163	0.41126987367214163	0.16914290899029932
3.	123	0.4112698736731085	0.4112698736731085	0.16914290899109463
3.	124	0.4112698736738822	0.4112698736738822	0.169142908991731
3.	125	0.41126987367450124	0.41126987367450124	0.16914290899224022
3.	126	0.4112698736749966	0.4112698736749966	0.16914290899264767
3.	127	0.411269873675393	0.411269873675393	0.16914290899297374
3.	128	0.41126987367571016	0.41126987367571016	0.1691429089932346
3.	129	0.411269873675964	0.411269873675964	0.1691429089934434
3.	130	0.411269873676167	0.411269873676167	0.16914290899361037
3.	131	0.41126987367632944	0.41126987367632944	0.16914290899374398
3.	132	0.4112698736764594	0.4112698736764594	0.16914290899385087
3.	133	0.4112698736765635	0.4112698736765635	0.16914290899393647
3.	134	0.41126987367664675	0.41126987367664675	0.16914290899400497
3.	135	0.41126987367671347	0.41126987367671347	0.16914290899405984
3.	136	0.41126987367676665	0.41126987367676665	0.16914290899410359
3.	137	0.4112698736768093	0.4112698736768093	0.16914290899413867
3.	138	0.41126987367684337	0.41126987367684337	0.1691429089941667
3.	139	0.4112698736768707	0.4112698736768707	0.16914290899418916
3.	140	0.41126987367689255	0.41126987367689255	0.16914290899420717
3.	141	0.41126987367691	0.41126987367691	0.1691429089942215
3.	142	0.41126987367692397	0.41126987367692397	0.169142908994233
3.	143	0.41126987367693507	0.41126987367693507	0.16914290899424214
3.	144	0.41126987367694406	0.41126987367694406	0.16914290899424952
3.	145	0.4112698736769513	0.4112698736769513	0.16914290899425546
3.	146	0.41126987367695705	0.41126987367695705	0.1691429089942602
3.	147	0.4112698736769617	0.4112698736769617	0.16914290899426404
3.	148	0.4112698736769653	0.4112698736769653	0.169142908994267
3.	149	0.41126987367696827	0.41126987367696827	0.16914290899426943
3.	150	0.4112698736769706	0.4112698736769706	0.16914290899427134
3.	151	0.41126987367697243	0.41126987367697243	0.16914290899427287
3.	152	0.41126987367697393	0.41126987367697393	0.1691429089942741
3.	153	0.4112698736769751	0.4112698736769751	0.16914290899427506
3.	154	0.4112698736769761	0.4112698736769761	0.16914290899427586
3.	155	0.4112698736769769	0.4112698736769769	0.16914290899427656
3.	156	0.4112698736769774	0.4112698736769774	0.16914290899427697
3.	157	0.41126987367697804	0.41126987367697804	0.16914290899427747
3.	158	0.41126987367697837	0.41126987367697837	0.16914290899427775
3.	159	0.41126987367697876	0.41126987367697876	0.16914290899427806
3.	160	0.41126987367697904	0.41126987367697904	0.1691429089942783
3.	161	0.41126987367697926	0.41126987367697926	0.16914290899427847
3.	162	0.4112698736769794	0.4112698736769794	0.1691429089942786
3.	163	0.41126987367697954	0.41126987367697954	0.1691429089942787
3.	164	0.41126987367697965	0.41126987367697965	0.1691429089942788
3.	165	0.4112698736769797	0.4112698736769797	0.16914290899427883
3.	166	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	167	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	168	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	169	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	170	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	171	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	172	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	173	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	174	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	175	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	176	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	177	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	178	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	179	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	180	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	181	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	182	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	183	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	184	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	185	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	186	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	187	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	188	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	189	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	190	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	191	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	192	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	193	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	194	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	195	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	196	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	197	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	198	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	199	0.41126987367697976	0.41126987367697976	0.1691429089942789
3.	200	0.41126987367697976	0.41126987367697976	0.1691429089942789
