step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
180,1.8061996460e+02,0.0000000000e+00,2.2567657528e+00,0.0000000000e+00,1.8061995506e+00,0.0000000000e+00,1.5761660412e-02,0.0000000000e+00,1.8061996460e+02,1.8061995506e+00,1.5761660412e-02
185,1.8011521912e+02,0.0000000000e+00,2.2555504108e+00,0.0000000000e+00,1.8011521101e+00,0.0000000000e+00,1.6192516312e-02,0.0000000000e+00,1.8011521912e+02,1.8011521101e+00,1.6192516312e-02
190,1.7959840393e+02,0.0000000000e+00,2.2543024728e+00,0.0000000000e+00,1.7959839106e+00,0.0000000000e+00,1.6618322581e-02,0.0000000000e+00,1.7959840393e+02,1.7959839106e+00,1.6618322581e-02
195,1.7907882690e+02,0.0000000000e+00,2.2530442408e+00,0.0000000000e+00,1.7907882929e+00,0.0000000000e+00,1.7058892176e-02,0.0000000000e+00,1.7907882690e+02,1.7907882929e+00,1.7058892176e-02
200,1.7856341553e+02,0.0000000000e+00,2.2517924844e+00,0.0000000000e+00,1.7856341600e+00,0.0000000000e+00,1.7511291429e-02,0.0000000000e+00,1.7856341553e+02,1.7856341600e+00,1.7511291429e-02
205,1.7805455017e+02,0.0000000000e+00,2.2505530765e+00,0.0000000000e+00,1.7805454731e+00,0.0000000000e+00,1.7926383764e-02,0.0000000000e+00,1.7805455017e+02,1.7805454731e+00,1.7926383764e-02
210,1.7753869629e+02,0.0000000000e+00,2.2492930264e+00,0.0000000000e+00,1.7753869295e+00,0.0000000000e+00,1.8368186429e-02,0.0000000000e+00,1.7753869629e+02,1.7753869295e+00,1.8368186429e-02
215,1.7702754211e+02,0.0000000000e+00,2.2480408396e+00,0.0000000000e+00,1.7702754736e+00,0.0000000000e+00,1.8807457760e-02,0.0000000000e+00,1.7702754211e+02,1.7702754736e+00,1.8807457760e-02
220,1.7653155518e+02,0.0000000000e+00,2.2468223472e+00,0.0000000000e+00,1.7653156519e+00,0.0000000000e+00,1.9225168973e-02,0.0000000000e+00,1.7653155518e+02,1.7653156519e+00,1.9225168973e-02
225,1.7601969910e+02,0.0000000000e+00,2.2455612742e+00,0.0000000000e+00,1.7601970434e+00,0.0000000000e+00,1.9649025053e-02,0.0000000000e+00,1.7601969910e+02,1.7601970434e+00,1.9649025053e-02
230,1.7551367188e+02,0.0000000000e+00,2.2443109521e+00,0.0000000000e+00,1.7551366091e+00,0.0000000000e+00,2.0075444132e-02,0.0000000000e+00,1.7551367188e+02,1.7551366091e+00,2.0075444132e-02
235,1.7500291443e+02,0.0000000000e+00,2.2430452813e+00,0.0000000000e+00,1.7500292063e+00,0.0000000000e+00,2.0502865314e-02,0.0000000000e+00,1.7500291443e+02,1.7500292063e+00,2.0502865314e-02
240,1.7448493958e+02,0.0000000000e+00,2.2417579474e+00,0.0000000000e+00,1.7448493242e+00,0.0000000000e+00,2.0962325856e-02,0.0000000000e+00,1.7448493958e+02,1.7448493242e+00,2.0962325856e-02
245,1.7398373413e+02,0.0000000000e+00,2.2405086477e+00,0.0000000000e+00,1.7398372889e+00,0.0000000000e+00,2.1379668266e-02,0.0000000000e+00,1.7398373413e+02,1.7398372889e+00,2.1379668266e-02
250,1.7348684692e+02,0.0000000000e+00,2.2392665539e+00,0.0000000000e+00,1.7348685265e+00,0.0000000000e+00,2.1813029423e-02,0.0000000000e+00,1.7348684692e+02,1.7348685265e+00,2.1813029423e-02
255,1.7299691772e+02,0.0000000000e+00,2.2380383654e+00,0.0000000000e+00,1.7299691439e+00,0.0000000000e+00,2.2232674062e-02,0.0000000000e+00,1.7299691772e+02,1.7299691439e+00,2.2232674062e-02
260,1.7250904846e+02,0.0000000000e+00,2.2368118797e+00,0.0000000000e+00,1.7250905037e+00,0.0000000000e+00,2.2638456896e-02,0.0000000000e+00,1.7250904846e+02,1.7250905037e+00,2.2638456896e-02
265,1.7201852417e+02,0.0000000000e+00,2.2355752173e+00,0.0000000000e+00,1.7201851606e+00,0.0000000000e+00,2.3081146181e-02,0.0000000000e+00,1.7201852417e+02,1.7201851606e+00,2.3081146181e-02
270,1.7153808594e+02,0.0000000000e+00,2.2343605598e+00,0.0000000000e+00,1.7153807878e+00,0.0000000000e+00,2.3478595540e-02,0.0000000000e+00,1.7153808594e+02,1.7153807878e+00,2.3478595540e-02
