step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
45,1.1661031246e+05,0.0000000000e+00,5.0667369591e+00,0.0000000000e+00,1.1664745808e+05,0.0000000000e+00,5.0668752793e+00,0.0000000000e+00,1.4128987491e-01,0.0000000000e+00,1.1661031246e+05,1.1664745808e+05,1.4128987491e-01
46,1.0803633928e+05,0.0000000000e+00,5.0335698601e+00,0.0000000000e+00,1.0809035301e+05,0.0000000000e+00,5.0337869352e+00,0.0000000000e+00,1.5518698096e-01,0.0000000000e+00,1.0803633928e+05,1.0809035301e+05,1.5518698096e-01
47,1.0223977566e+05,0.0000000000e+00,5.0096198879e+00,0.0000000000e+00,1.0231106281e+05,0.0000000000e+00,5.0099225962e+00,0.0000000000e+00,1.6958136857e-01,0.0000000000e+00,1.0223977566e+05,1.0231106281e+05,1.6958136857e-01
48,9.9431419373e+04,0.0000000000e+00,4.9975236390e+00,0.0000000000e+00,9.9520200491e+04,0.0000000000e+00,4.9979112423e+00,0.0000000000e+00,1.8435734510e-01,0.0000000000e+00,9.9431419373e+04,9.9520200491e+04,1.8435734510e-01
49,9.9674600363e+04,0.0000000000e+00,4.9985845031e+00,0.0000000000e+00,9.9780875444e+04,0.0000000000e+00,4.9990473100e+00,0.0000000000e+00,1.9940149784e-01,0.0000000000e+00,9.9674600363e+04,9.9780875444e+04,1.9940149784e-01
50,1.0288501978e+05,0.0000000000e+00,5.0123521454e+00,0.0000000000e+00,1.0300852060e+05,0.0000000000e+00,5.0128731499e+00,0.0000000000e+00,2.1460615098e-01,0.0000000000e+00,1.0288501978e+05,1.0300852060e+05,2.1460615098e-01
51,1.0885274410e+05,0.0000000000e+00,5.0368393818e+00,0.0000000000e+00,1.0899304152e+05,0.0000000000e+00,5.0373987720e+00,0.0000000000e+00,2.2986917198e-01,0.0000000000e+00,1.0885274410e+05,1.0899304152e+05,2.2986917198e-01
52,1.1728086472e+05,0.0000000000e+00,5.0692271594e+00,0.0000000000e+00,1.1743733883e+05,0.0000000000e+00,5.0698062014e+00,0.0000000000e+00,2.4509002268e-01,0.0000000000e+00,1.1728086472e+05,1.1743733883e+05,2.4509002268e-01
53,1.2783099413e+05,0.0000000000e+00,5.1066361664e+00,0.0000000000e+00,1.2800289392e+05,0.0000000000e+00,5.1072197884e+00,0.0000000000e+00,2.6016455889e-01,0.0000000000e+00,1.2783099413e+05,1.2800289392e+05,2.6016455889e-01
54,1.4016642570e+05,0.0000000000e+00,5.1466439988e+00,0.0000000000e+00,1.4035288095e+05,0.0000000000e+00,5.1472213316e+00,0.0000000000e+00,2.7498099208e-01,0.0000000000e+00,1.4016642570e+05,1.4035288095e+05,2.7498099208e-01
55,1.5398455858e+05,0.0000000000e+00,5.1874771724e+00,0.0000000000e+00,1.5418462753e+05,0.0000000000e+00,5.1880410760e+00,0.0000000000e+00,2.8941914439e-01,0.0000000000e+00,1.5398455858e+05,1.5418462753e+05,2.8941914439e-01
56,1.6903609037e+05,0.0000000000e+00,5.2279794394e+00,0.0000000000e+00,1.6924878359e+05,0.0000000000e+00,5.2285255560e+00,0.0000000000e+00,3.0335298181e-01,0.0000000000e+00,1.6903609037e+05,1.6924878359e+05,3.0335298181e-01
57,1.8513056040e+05,0.0000000000e+00,5.2674781158e+00,0.0000000000e+00,1.8535490036e+05,0.0000000000e+00,5.2680040723e+00,0.0000000000e+00,3.1665647030e-01,0.0000000000e+00,1.8513056040e+05,1.8535490036e+05,3.1665647030e-01
58,2.0213327408e+05,0.0000000000e+00,5.3056378106e+00,0.0000000000e+00,2.0236825943e+05,0.0000000000e+00,5.3061423963e+00,0.0000000000e+00,3.2921081781e-01,0.0000000000e+00,2.0213327408e+05,2.0236825943e+05,3.2921081781e-01
